source,target,edge_type
CLM-000021,CUS-002804,FILED_BY
CLM-000021,DEV-002711,USES_DEVICE
CLM-000021,REP-000220,REPAIRED_BY
CLM-000022,CUS-002028,FILED_BY
CLM-000022,DEV-000175,USES_DEVICE
CLM-000022,REP-000334,REPAIRED_BY
CLM-000023,CUS-002382,FILED_BY
CLM-000023,DEV-001258,USES_DEVICE
CLM-000023,REP-000333,REPAIRED_BY
CLM-000024,CUS-001262,FILED_BY
CLM-000024,DEV-002418,USES_DEVICE
CLM-000024,REP-000467,REPAIRED_BY
CLM-000025,CUS-000337,FILED_BY
CLM-000025,DEV-002974,USES_DEVICE
CLM-000026,CUS-002187,FILED_BY
CLM-000026,DEV-002969,USES_DEVICE
CLM-000026,REP-000323,REPAIRED_BY
CLM-000027,CUS-000466,FILED_BY
CLM-000027,DEV-000350,USES_DEVICE
CLM-000027,REP-000012,REPAIRED_BY
CLM-000028,CUS-002615,FILED_BY
CLM-000028,DEV-002405,USES_DEVICE
CLM-000029,CUS-002614,FILED_BY
CLM-000029,DEV-002366,USES_DEVICE
CLM-000030,CUS-002239,FILED_BY
CLM-000030,DEV-001462,USES_DEVICE
CLM-000030,REP-000367,REPAIRED_BY
CLM-000031,CUS-001106,FILED_BY
CLM-000031,DEV-000363,USES_DEVICE
CLM-000031,REP-000670,REPAIRED_BY
CLM-000032,CUS-002844,FILED_BY
CLM-000032,DEV-002146,USES_DEVICE
CLM-000032,REP-000104,REPAIRED_BY
CLM-000033,CUS-001639,FILED_BY
CLM-000033,DEV-001562,USES_DEVICE
CLM-000033,REP-000624,REPAIRED_BY
CLM-000034,CUS-002409,FILED_BY
CLM-000034,DEV-001354,USES_DEVICE
CLM-000034,REP-000460,REPAIRED_BY
CLM-000035,CUS-002551,FILED_BY
CLM-000035,DEV-001868,USES_DEVICE
CLM-000036,CUS-000330,FILED_BY
CLM-000036,DEV-000300,USES_DEVICE
CLM-000037,CUS-001318,FILED_BY
CLM-000037,DEV-000447,USES_DEVICE
CLM-000038,CUS-002662,FILED_BY
CLM-000038,DEV-002482,USES_DEVICE
CLM-000038,REP-000331,REPAIRED_BY
CLM-000039,CUS-002774,FILED_BY
CLM-000039,DEV-000739,USES_DEVICE
CLM-000039,REP-000682,REPAIRED_BY
CLM-000040,CUS-002949,FILED_BY
CLM-000040,DEV-001472,USES_DEVICE
CLM-000041,CUS-001143,FILED_BY
CLM-000041,DEV-000970,USES_DEVICE
CLM-000041,REP-000105,REPAIRED_BY
CLM-000042,CUS-002649,FILED_BY
CLM-000042,DEV-000541,USES_DEVICE
CLM-000042,REP-000110,REPAIRED_BY
CLM-000043,CUS-000331,FILED_BY
CLM-000043,DEV-000226,USES_DEVICE
CLM-000043,REP-000111,REPAIRED_BY
CLM-000044,CUS-002677,FILED_BY
CLM-000044,DEV-002803,USES_DEVICE
CLM-000044,REP-000298,REPAIRED_BY
CLM-000045,CUS-001000,FILED_BY
CLM-000045,DEV-000816,USES_DEVICE
CLM-000045,REP-000346,REPAIRED_BY
CLM-000046,CUS-001912,FILED_BY
CLM-000046,DEV-001559,USES_DEVICE
CLM-000047,CUS-000688,FILED_BY
CLM-000047,DEV-000061,USES_DEVICE
CLM-000047,REP-000090,REPAIRED_BY
CLM-000048,CUS-002171,FILED_BY
CLM-000048,DEV-002470,USES_DEVICE
CLM-000049,CUS-001581,FILED_BY
CLM-000049,DEV-000482,USES_DEVICE
CLM-000049,REP-000664,REPAIRED_BY
CLM-000050,CUS-001384,FILED_BY
CLM-000050,DEV-000367,USES_DEVICE
CLM-000051,CUS-000368,FILED_BY
CLM-000051,DEV-002076,USES_DEVICE
CLM-000052,CUS-002349,FILED_BY
CLM-000052,DEV-001180,USES_DEVICE
CLM-000053,CUS-001894,FILED_BY
CLM-000053,DEV-000073,USES_DEVICE
CLM-000053,REP-000500,REPAIRED_BY
CLM-000054,CUS-000463,FILED_BY
CLM-000054,DEV-001839,USES_DEVICE
CLM-000055,CUS-001495,FILED_BY
CLM-000055,DEV-001949,USES_DEVICE
CLM-000056,CUS-000676,FILED_BY
CLM-000056,DEV-000812,USES_DEVICE
CLM-000057,CUS-002911,FILED_BY
CLM-000057,DEV-000103,USES_DEVICE
CLM-000057,REP-000419,REPAIRED_BY
CLM-000058,CUS-000729,FILED_BY
CLM-000058,DEV-002580,USES_DEVICE
CLM-000058,REP-000679,REPAIRED_BY
CLM-000059,CUS-002560,FILED_BY
CLM-000059,DEV-000123,USES_DEVICE
CLM-000060,CUS-001572,FILED_BY
CLM-000060,DEV-001124,USES_DEVICE
CLM-000060,REP-000496,REPAIRED_BY
CLM-000061,CUS-001380,FILED_BY
CLM-000061,DEV-000695,USES_DEVICE
CLM-000062,CUS-002929,FILED_BY
CLM-000062,DEV-002600,USES_DEVICE
CLM-000063,CUS-002239,FILED_BY
CLM-000063,DEV-000084,USES_DEVICE
CLM-000064,CUS-002284,FILED_BY
CLM-000064,DEV-002053,USES_DEVICE
CLM-000065,CUS-002673,FILED_BY
CLM-000065,DEV-002300,USES_DEVICE
CLM-000065,REP-000625,REPAIRED_BY
CLM-000066,CUS-002684,FILED_BY
CLM-000066,DEV-000028,USES_DEVICE
CLM-000066,REP-000099,REPAIRED_BY
CLM-000067,CUS-000550,FILED_BY
CLM-000067,DEV-000937,USES_DEVICE
CLM-000067,REP-000219,REPAIRED_BY
CLM-000068,CUS-001631,FILED_BY
CLM-000068,DEV-001649,USES_DEVICE
CLM-000069,CUS-002767,FILED_BY
CLM-000069,DEV-002386,USES_DEVICE
CLM-000070,CUS-002130,FILED_BY
CLM-000070,DEV-000498,USES_DEVICE
CLM-000070,REP-000273,REPAIRED_BY
CLM-000071,CUS-002473,FILED_BY
CLM-000071,DEV-000584,USES_DEVICE
CLM-000071,REP-000329,REPAIRED_BY
CLM-000072,CUS-000638,FILED_BY
CLM-000072,DEV-001957,USES_DEVICE
CLM-000073,CUS-000099,FILED_BY
CLM-000073,DEV-001256,USES_DEVICE
CLM-000074,CUS-002774,FILED_BY
CLM-000074,DEV-000147,USES_DEVICE
CLM-000074,REP-000369,REPAIRED_BY
CLM-000075,CUS-001918,FILED_BY
CLM-000075,DEV-001669,USES_DEVICE
CLM-000075,REP-000330,REPAIRED_BY
CLM-000076,CUS-001551,FILED_BY
CLM-000076,DEV-000210,USES_DEVICE
CLM-000076,REP-000296,REPAIRED_BY
CLM-000077,CUS-001328,FILED_BY
CLM-000077,DEV-002899,USES_DEVICE
CLM-000078,CUS-000616,FILED_BY
CLM-000078,DEV-000647,USES_DEVICE
CLM-000078,REP-000197,REPAIRED_BY
CLM-000079,CUS-002092,FILED_BY
CLM-000079,DEV-000251,USES_DEVICE
CLM-000079,REP-000579,REPAIRED_BY
CLM-000080,CUS-001786,FILED_BY
CLM-000080,DEV-000119,USES_DEVICE
CLM-000081,CUS-000489,FILED_BY
CLM-000081,DEV-002854,USES_DEVICE
CLM-000082,CUS-000965,FILED_BY
CLM-000082,DEV-000229,USES_DEVICE
CLM-000082,REP-000045,REPAIRED_BY
CLM-000083,CUS-000433,FILED_BY
CLM-000083,DEV-002875,USES_DEVICE
CLM-000083,REP-000223,REPAIRED_BY
CLM-000084,CUS-001502,FILED_BY
CLM-000084,DEV-001952,USES_DEVICE
CLM-000084,REP-000457,REPAIRED_BY
CLM-000085,CUS-002796,FILED_BY
CLM-000085,DEV-000380,USES_DEVICE
CLM-000086,CUS-000094,FILED_BY
CLM-000086,DEV-001922,USES_DEVICE
CLM-000086,REP-000316,REPAIRED_BY
CLM-000087,CUS-000073,FILED_BY
CLM-000087,DEV-001399,USES_DEVICE
CLM-000087,REP-000254,REPAIRED_BY
CLM-000088,CUS-000462,FILED_BY
CLM-000088,DEV-001811,USES_DEVICE
CLM-000089,CUS-002410,FILED_BY
CLM-000089,DEV-002762,USES_DEVICE
CLM-000089,REP-000638,REPAIRED_BY
CLM-000090,CUS-000836,FILED_BY
CLM-000090,DEV-001950,USES_DEVICE
CLM-000090,REP-000688,REPAIRED_BY
CLM-000091,CUS-000868,FILED_BY
CLM-000091,DEV-000438,USES_DEVICE
CLM-000091,REP-000570,REPAIRED_BY
CLM-000092,CUS-000601,FILED_BY
CLM-000092,DEV-000485,USES_DEVICE
CLM-000092,REP-000492,REPAIRED_BY
CLM-000093,CUS-001871,FILED_BY
CLM-000093,DEV-000237,USES_DEVICE
CLM-000093,REP-000024,REPAIRED_BY
CLM-000094,CUS-002168,FILED_BY
CLM-000094,DEV-002107,USES_DEVICE
CLM-000094,REP-000191,REPAIRED_BY
CLM-000095,CUS-002364,FILED_BY
CLM-000095,DEV-000145,USES_DEVICE
CLM-000096,CUS-001229,FILED_BY
CLM-000096,DEV-002907,USES_DEVICE
CLM-000096,REP-000697,REPAIRED_BY
CLM-000097,CUS-000731,FILED_BY
CLM-000097,DEV-000486,USES_DEVICE
CLM-000097,REP-000380,REPAIRED_BY
CLM-000098,CUS-000510,FILED_BY
CLM-000098,DEV-000650,USES_DEVICE
CLM-000099,CUS-002209,FILED_BY
CLM-000099,DEV-000998,USES_DEVICE
CLM-000099,REP-000577,REPAIRED_BY
CLM-000100,CUS-002660,FILED_BY
CLM-000100,DEV-001578,USES_DEVICE
CLM-000101,CUS-002469,FILED_BY
CLM-000101,DEV-002059,USES_DEVICE
CLM-000102,CUS-002665,FILED_BY
CLM-000102,DEV-000523,USES_DEVICE
CLM-000102,REP-000012,REPAIRED_BY
CLM-000103,CUS-002176,FILED_BY
CLM-000103,DEV-000411,USES_DEVICE
CLM-000104,CUS-002823,FILED_BY
CLM-000104,DEV-001046,USES_DEVICE
CLM-000105,CUS-000073,FILED_BY
CLM-000105,DEV-001399,USES_DEVICE
CLM-000105,REP-000643,REPAIRED_BY
CLM-000106,CUS-002454,FILED_BY
CLM-000106,DEV-002846,USES_DEVICE
CLM-000107,CUS-000313,FILED_BY
CLM-000107,DEV-001274,USES_DEVICE
CLM-000107,REP-000124,REPAIRED_BY
CLM-000108,CUS-000007,FILED_BY
CLM-000108,DEV-001529,USES_DEVICE
CLM-000108,REP-000414,REPAIRED_BY
CLM-000109,CUS-001342,FILED_BY
CLM-000109,DEV-000320,USES_DEVICE
CLM-000109,REP-000134,REPAIRED_BY
CLM-000110,CUS-000467,FILED_BY
CLM-000110,DEV-000364,USES_DEVICE
CLM-000111,CUS-000015,FILED_BY
CLM-000111,DEV-000084,USES_DEVICE
CLM-000112,CUS-000883,FILED_BY
CLM-000112,DEV-002014,USES_DEVICE
CLM-000112,REP-000070,REPAIRED_BY
CLM-000113,CUS-001123,FILED_BY
CLM-000113,DEV-002423,USES_DEVICE
CLM-000113,REP-000628,REPAIRED_BY
CLM-000114,CUS-001138,FILED_BY
CLM-000114,DEV-001146,USES_DEVICE
CLM-000115,CUS-002660,FILED_BY
CLM-000115,DEV-001578,USES_DEVICE
CLM-000115,REP-000198,REPAIRED_BY
CLM-000116,CUS-000122,FILED_BY
CLM-000116,DEV-000102,USES_DEVICE
CLM-000117,CUS-001018,FILED_BY
CLM-000117,DEV-001514,USES_DEVICE
CLM-000118,CUS-001081,FILED_BY
CLM-000118,DEV-002815,USES_DEVICE
CLM-000118,REP-000043,REPAIRED_BY
CLM-000119,CUS-002788,FILED_BY
CLM-000119,DEV-000598,USES_DEVICE
CLM-000119,REP-000571,REPAIRED_BY
CLM-000120,CUS-000833,FILED_BY
CLM-000120,DEV-002817,USES_DEVICE
CLM-000120,REP-000176,REPAIRED_BY
CLM-000121,CUS-000625,FILED_BY
CLM-000121,DEV-000483,USES_DEVICE
CLM-000121,REP-000257,REPAIRED_BY
CLM-000122,CUS-000759,FILED_BY
CLM-000122,DEV-002293,USES_DEVICE
CLM-000122,REP-000501,REPAIRED_BY
CLM-000123,CUS-000615,FILED_BY
CLM-000123,DEV-001532,USES_DEVICE
CLM-000123,REP-000081,REPAIRED_BY
CLM-000124,CUS-002476,FILED_BY
CLM-000124,DEV-002513,USES_DEVICE
CLM-000124,REP-000148,REPAIRED_BY
CLM-000125,CUS-002307,FILED_BY
CLM-000125,DEV-000303,USES_DEVICE
CLM-000125,REP-000662,REPAIRED_BY
CLM-000126,CUS-002766,FILED_BY
CLM-000126,DEV-001277,USES_DEVICE
CLM-000126,REP-000150,REPAIRED_BY
CLM-000127,CUS-001080,FILED_BY
CLM-000127,DEV-001715,USES_DEVICE
CLM-000127,REP-000268,REPAIRED_BY
CLM-000128,CUS-001438,FILED_BY
CLM-000128,DEV-002804,USES_DEVICE
CLM-000128,REP-000197,REPAIRED_BY
CLM-000129,CUS-000392,FILED_BY
CLM-000129,DEV-002868,USES_DEVICE
CLM-000129,REP-000492,REPAIRED_BY
CLM-000130,CUS-002469,FILED_BY
CLM-000130,DEV-002059,USES_DEVICE
CLM-000131,CUS-000293,FILED_BY
CLM-000131,DEV-001548,USES_DEVICE
CLM-000131,REP-000590,REPAIRED_BY
CLM-000132,CUS-002735,FILED_BY
CLM-000132,DEV-000959,USES_DEVICE
CLM-000132,REP-000419,REPAIRED_BY
CLM-000133,CUS-000826,FILED_BY
CLM-000133,DEV-001753,USES_DEVICE
CLM-000133,REP-000386,REPAIRED_BY
CLM-000134,CUS-002282,FILED_BY
CLM-000134,DEV-001393,USES_DEVICE
CLM-000134,REP-000027,REPAIRED_BY
CLM-000135,CUS-002688,FILED_BY
CLM-000135,DEV-002754,USES_DEVICE
CLM-000136,CUS-000436,FILED_BY
CLM-000136,DEV-000045,USES_DEVICE
CLM-000136,REP-000682,REPAIRED_BY
CLM-000137,CUS-002105,FILED_BY
CLM-000137,DEV-001954,USES_DEVICE
CLM-000137,REP-000578,REPAIRED_BY
CLM-000138,CUS-000032,FILED_BY
CLM-000138,DEV-001449,USES_DEVICE
CLM-000139,CUS-001556,FILED_BY
CLM-000139,DEV-002728,USES_DEVICE
CLM-000139,REP-000675,REPAIRED_BY
CLM-000140,CUS-000764,FILED_BY
CLM-000140,DEV-000748,USES_DEVICE
CLM-000140,REP-000036,REPAIRED_BY
CLM-000141,CUS-001275,FILED_BY
CLM-000141,DEV-002949,USES_DEVICE
CLM-000142,CUS-002174,FILED_BY
CLM-000142,DEV-001342,USES_DEVICE
CLM-000142,REP-000366,REPAIRED_BY
CLM-000143,CUS-000292,FILED_BY
CLM-000143,DEV-002949,USES_DEVICE
CLM-000144,CUS-001360,FILED_BY
CLM-000144,DEV-000282,USES_DEVICE
CLM-000144,REP-000588,REPAIRED_BY
CLM-000145,CUS-002303,FILED_BY
CLM-000145,DEV-000012,USES_DEVICE
CLM-000146,CUS-000038,FILED_BY
CLM-000146,DEV-000680,USES_DEVICE
CLM-000146,REP-000649,REPAIRED_BY
CLM-000147,CUS-000898,FILED_BY
CLM-000147,DEV-002852,USES_DEVICE
CLM-000147,REP-000163,REPAIRED_BY
CLM-000148,CUS-000327,FILED_BY
CLM-000148,DEV-002869,USES_DEVICE
CLM-000148,REP-000235,REPAIRED_BY
CLM-000149,CUS-000982,FILED_BY
CLM-000149,DEV-000337,USES_DEVICE
CLM-000150,CUS-001191,FILED_BY
CLM-000150,DEV-000610,USES_DEVICE
CLM-000151,CUS-001572,FILED_BY
CLM-000151,DEV-001124,USES_DEVICE
CLM-000151,REP-000157,REPAIRED_BY
CLM-000152,CUS-000710,FILED_BY
CLM-000152,DEV-000574,USES_DEVICE
CLM-000153,CUS-000087,FILED_BY
CLM-000153,DEV-000345,USES_DEVICE
CLM-000154,CUS-002243,FILED_BY
CLM-000154,DEV-001304,USES_DEVICE
CLM-000155,CUS-002647,FILED_BY
CLM-000155,DEV-001743,USES_DEVICE
CLM-000155,REP-000548,REPAIRED_BY
CLM-000156,CUS-002573,FILED_BY
CLM-000156,DEV-002112,USES_DEVICE
CLM-000156,REP-000398,REPAIRED_BY
CLM-000157,CUS-002155,FILED_BY
CLM-000157,DEV-000379,USES_DEVICE
CLM-000157,REP-000393,REPAIRED_BY
CLM-000158,CUS-001520,FILED_BY
CLM-000158,DEV-000427,USES_DEVICE
CLM-000159,CUS-001002,FILED_BY
CLM-000159,DEV-001677,USES_DEVICE
CLM-000159,REP-000609,REPAIRED_BY
CLM-000160,CUS-001493,FILED_BY
CLM-000160,DEV-002874,USES_DEVICE
CLM-000160,REP-000035,REPAIRED_BY
CLM-000161,CUS-002740,FILED_BY
CLM-000161,DEV-000602,USES_DEVICE
CLM-000161,REP-000262,REPAIRED_BY
CLM-000162,CUS-002185,FILED_BY
CLM-000162,DEV-001480,USES_DEVICE
CLM-000163,CUS-001684,FILED_BY
CLM-000163,DEV-000866,USES_DEVICE
CLM-000163,REP-000305,REPAIRED_BY
CLM-000164,CUS-000076,FILED_BY
CLM-000164,DEV-002391,USES_DEVICE
CLM-000164,REP-000522,REPAIRED_BY
CLM-000165,CUS-000490,FILED_BY
CLM-000165,DEV-000153,USES_DEVICE
CLM-000165,REP-000475,REPAIRED_BY
CLM-000166,CUS-000506,FILED_BY
CLM-000166,DEV-001469,USES_DEVICE
CLM-000166,REP-000661,REPAIRED_BY
CLM-000167,CUS-001834,FILED_BY
CLM-000167,DEV-001927,USES_DEVICE
CLM-000167,REP-000421,REPAIRED_BY
CLM-000168,CUS-001789,FILED_BY
CLM-000168,DEV-002686,USES_DEVICE
CLM-000168,REP-000417,REPAIRED_BY
CLM-000169,CUS-000122,FILED_BY
CLM-000169,DEV-000100,USES_DEVICE
CLM-000170,CUS-002453,FILED_BY
CLM-000170,DEV-002091,USES_DEVICE
CLM-000171,CUS-002539,FILED_BY
CLM-000171,DEV-002835,USES_DEVICE
CLM-000171,REP-000540,REPAIRED_BY
CLM-000172,CUS-000990,FILED_BY
CLM-000172,DEV-000485,USES_DEVICE
CLM-000172,REP-000064,REPAIRED_BY
CLM-000173,CUS-001513,FILED_BY
CLM-000173,DEV-000845,USES_DEVICE
CLM-000174,CUS-000235,FILED_BY
CLM-000174,DEV-000076,USES_DEVICE
CLM-000174,REP-000488,REPAIRED_BY
CLM-000175,CUS-002951,FILED_BY
CLM-000175,DEV-001689,USES_DEVICE
CLM-000176,CUS-002865,FILED_BY
CLM-000176,DEV-000430,USES_DEVICE
CLM-000176,REP-000155,REPAIRED_BY
CLM-000177,CUS-000655,FILED_BY
CLM-000177,DEV-000521,USES_DEVICE
CLM-000177,REP-000372,REPAIRED_BY
CLM-000178,CUS-002890,FILED_BY
CLM-000178,DEV-000731,USES_DEVICE
CLM-000178,REP-000631,REPAIRED_BY
CLM-000179,CUS-002254,FILED_BY
CLM-000179,DEV-002310,USES_DEVICE
CLM-000180,CUS-000166,FILED_BY
CLM-000180,DEV-000971,USES_DEVICE
CLM-000181,CUS-000180,FILED_BY
CLM-000181,DEV-000822,USES_DEVICE
CLM-000181,REP-000089,REPAIRED_BY
CLM-000182,CUS-000982,FILED_BY
CLM-000182,DEV-000337,USES_DEVICE
CLM-000182,REP-000608,REPAIRED_BY
CLM-000183,CUS-000056,FILED_BY
CLM-000183,DEV-000890,USES_DEVICE
CLM-000183,REP-000485,REPAIRED_BY
CLM-000184,CUS-001890,FILED_BY
CLM-000184,DEV-001462,USES_DEVICE
CLM-000184,REP-000567,REPAIRED_BY
CLM-000185,CUS-002033,FILED_BY
CLM-000185,DEV-002410,USES_DEVICE
CLM-000186,CUS-001331,FILED_BY
CLM-000186,DEV-000166,USES_DEVICE
CLM-000186,REP-000590,REPAIRED_BY
CLM-000187,CUS-001927,FILED_BY
CLM-000187,DEV-001153,USES_DEVICE
CLM-000187,REP-000284,REPAIRED_BY
CLM-000188,CUS-001424,FILED_BY
CLM-000188,DEV-002837,USES_DEVICE
CLM-000188,REP-000415,REPAIRED_BY
CLM-000189,CUS-002964,FILED_BY
CLM-000189,DEV-002831,USES_DEVICE
CLM-000190,CUS-001129,FILED_BY
CLM-000190,DEV-000884,USES_DEVICE
CLM-000191,CUS-000218,FILED_BY
CLM-000191,DEV-001981,USES_DEVICE
CLM-000191,REP-000301,REPAIRED_BY
CLM-000192,CUS-001610,FILED_BY
CLM-000192,DEV-001749,USES_DEVICE
CLM-000193,CUS-001294,FILED_BY
CLM-000193,DEV-001058,USES_DEVICE
CLM-000193,REP-000665,REPAIRED_BY
CLM-000194,CUS-001973,FILED_BY
CLM-000194,DEV-002060,USES_DEVICE
CLM-000195,CUS-000577,FILED_BY
CLM-000195,DEV-002576,USES_DEVICE
CLM-000195,REP-000232,REPAIRED_BY
CLM-000196,CUS-000944,FILED_BY
CLM-000196,DEV-001570,USES_DEVICE
CLM-000197,CUS-001741,FILED_BY
CLM-000197,DEV-000623,USES_DEVICE
CLM-000197,REP-000535,REPAIRED_BY
CLM-000198,CUS-002639,FILED_BY
CLM-000198,DEV-002950,USES_DEVICE
CLM-000198,REP-000670,REPAIRED_BY
CLM-000199,CUS-000192,FILED_BY
CLM-000199,DEV-002260,USES_DEVICE
CLM-000199,REP-000634,REPAIRED_BY
CLM-000200,CUS-000017,FILED_BY
CLM-000200,DEV-000233,USES_DEVICE
CLM-000200,REP-000642,REPAIRED_BY
CLM-000201,CUS-002809,FILED_BY
CLM-000201,DEV-000269,USES_DEVICE
CLM-000202,CUS-000165,FILED_BY
CLM-000202,DEV-000268,USES_DEVICE
CLM-000202,REP-000181,REPAIRED_BY
CLM-000203,CUS-000744,FILED_BY
CLM-000203,DEV-000920,USES_DEVICE
CLM-000204,CUS-001363,FILED_BY
CLM-000204,DEV-002722,USES_DEVICE
CLM-000205,CUS-002614,FILED_BY
CLM-000205,DEV-001719,USES_DEVICE
CLM-000205,REP-000086,REPAIRED_BY
CLM-000206,CUS-000550,FILED_BY
CLM-000206,DEV-000937,USES_DEVICE
CLM-000206,REP-000380,REPAIRED_BY
CLM-000207,CUS-000205,FILED_BY
CLM-000207,DEV-001307,USES_DEVICE
CLM-000207,REP-000227,REPAIRED_BY
CLM-000208,CUS-000682,FILED_BY
CLM-000208,DEV-000072,USES_DEVICE
CLM-000208,REP-000086,REPAIRED_BY
CLM-000209,CUS-001805,FILED_BY
CLM-000209,DEV-001504,USES_DEVICE
CLM-000210,CUS-000248,FILED_BY
CLM-000210,DEV-000182,USES_DEVICE
CLM-000211,CUS-002211,FILED_BY
CLM-000211,DEV-002921,USES_DEVICE
CLM-000211,REP-000452,REPAIRED_BY
CLM-000212,CUS-002166,FILED_BY
CLM-000212,DEV-000969,USES_DEVICE
CLM-000212,REP-000642,REPAIRED_BY
CLM-000213,CUS-000815,FILED_BY
CLM-000213,DEV-000343,USES_DEVICE
CLM-000213,REP-000550,REPAIRED_BY
CLM-000214,CUS-000311,FILED_BY
CLM-000214,DEV-000392,USES_DEVICE
CLM-000215,CUS-001819,FILED_BY
CLM-000215,DEV-002977,USES_DEVICE
CLM-000215,REP-000087,REPAIRED_BY
CLM-000216,CUS-002662,FILED_BY
CLM-000216,DEV-002482,USES_DEVICE
CLM-000217,CUS-000067,FILED_BY
CLM-000217,DEV-001971,USES_DEVICE
CLM-000218,CUS-002172,FILED_BY
CLM-000218,DEV-001556,USES_DEVICE
CLM-000218,REP-000243,REPAIRED_BY
CLM-000219,CUS-002066,FILED_BY
CLM-000219,DEV-000330,USES_DEVICE
CLM-000220,CUS-000958,FILED_BY
CLM-000220,DEV-002573,USES_DEVICE
CLM-000220,REP-000601,REPAIRED_BY
CLM-000221,CUS-002751,FILED_BY
CLM-000221,DEV-002553,USES_DEVICE
CLM-000221,REP-000016,REPAIRED_BY
CLM-000222,CUS-000349,FILED_BY
CLM-000222,DEV-000281,USES_DEVICE
CLM-000222,REP-000075,REPAIRED_BY
CLM-000223,CUS-000319,FILED_BY
CLM-000223,DEV-000549,USES_DEVICE
CLM-000223,REP-000050,REPAIRED_BY
CLM-000224,CUS-001262,FILED_BY
CLM-000224,DEV-002418,USES_DEVICE
CLM-000224,REP-000497,REPAIRED_BY
CLM-000225,CUS-002389,FILED_BY
CLM-000225,DEV-000469,USES_DEVICE
CLM-000225,REP-000180,REPAIRED_BY
CLM-000226,CUS-002244,FILED_BY
CLM-000226,DEV-000137,USES_DEVICE
CLM-000227,CUS-001146,FILED_BY
CLM-000227,DEV-000858,USES_DEVICE
CLM-000228,CUS-002421,FILED_BY
CLM-000228,DEV-001084,USES_DEVICE
CLM-000228,REP-000134,REPAIRED_BY
CLM-000229,CUS-000919,FILED_BY
CLM-000229,DEV-002934,USES_DEVICE
CLM-000229,REP-000284,REPAIRED_BY
CLM-000230,CUS-000111,FILED_BY
CLM-000230,DEV-002545,USES_DEVICE
CLM-000231,CUS-001819,FILED_BY
CLM-000231,DEV-000306,USES_DEVICE
CLM-000231,REP-000599,REPAIRED_BY
CLM-000232,CUS-001380,FILED_BY
CLM-000232,DEV-000695,USES_DEVICE
CLM-000233,CUS-000648,FILED_BY
CLM-000233,DEV-000379,USES_DEVICE
CLM-000234,CUS-001697,FILED_BY
CLM-000234,DEV-002238,USES_DEVICE
CLM-000235,CUS-002675,FILED_BY
CLM-000235,DEV-002581,USES_DEVICE
CLM-000235,REP-000109,REPAIRED_BY
CLM-000236,CUS-001018,FILED_BY
CLM-000236,DEV-001514,USES_DEVICE
CLM-000236,REP-000407,REPAIRED_BY
CLM-000237,CUS-002101,FILED_BY
CLM-000237,DEV-002627,USES_DEVICE
CLM-000238,CUS-000030,FILED_BY
CLM-000238,DEV-002941,USES_DEVICE
CLM-000239,CUS-000226,FILED_BY
CLM-000239,DEV-000424,USES_DEVICE
CLM-000240,CUS-002907,FILED_BY
CLM-000240,DEV-000620,USES_DEVICE
CLM-000241,CUS-002510,FILED_BY
CLM-000241,DEV-000481,USES_DEVICE
CLM-000242,CUS-002645,FILED_BY
CLM-000242,DEV-002062,USES_DEVICE
CLM-000242,REP-000451,REPAIRED_BY
CLM-000243,CUS-002963,FILED_BY
CLM-000243,DEV-002944,USES_DEVICE
CLM-000244,CUS-001062,FILED_BY
