id,node_type,claim_amount,claim_type,claim_date
CLM-000183,claim,214.67,battery_issue,2024-11-09
CLM-000184,claim,440.79,water_damage,2023-09-06
CLM-000185,claim,71.6,theft,2023-06-24
CLM-000186,claim,92.96,screen_damage,2024-03-04
CLM-000187,claim,261.13,software_issue,2024-09-09
CLM-000188,claim,523.39,screen_damage,2024-04-19
CLM-000189,claim,140.82,theft,2024-01-18
CLM-000190,claim,309.59,screen_damage,2023-12-30
CLM-000191,claim,109.99,mechanical_failure,2024-11-29
CLM-000192,claim,188.32,water_damage,2023-09-14
CLM-000193,claim,168.92,accidental_damage,2023-09-12
CLM-000194,claim,311.99,theft,2024-10-20
CLM-000195,claim,158.02,water_damage,2024-11-17
CLM-000196,claim,438.08,theft,2024-05-28
CLM-000197,claim,638.0,software_issue,2024-11-28
CLM-000198,claim,395.4,accidental_damage,2023-01-13
CLM-000199,claim,625.26,theft,2024-08-02
CLM-000200,claim,61.77,battery_issue,2023-09-17
CLM-000201,claim,363.95,accidental_damage,2023-04-02
CLM-000202,claim,102.31,accidental_damage,2023-06-26
CLM-000203,claim,89.04,software_issue,2023-06-07
CLM-000204,claim,488.59,screen_damage,2024-03-13
CLM-000205,claim,338.1,battery_issue,2024-11-17
CLM-000206,claim,564.16,mechanical_failure,2023-08-17
CLM-000207,claim,249.31,screen_damage,2023-07-03
CLM-000208,claim,258.78,battery_issue,2024-03-10
CLM-000209,claim,194.6,screen_damage,2024-05-04
CLM-000210,claim,638.84,theft,2024-01-08
CLM-000211,claim,230.08,software_issue,2024-09-23
CLM-000212,claim,111.23,software_issue,2024-10-03
CLM-000213,claim,183.59,water_damage,2024-04-06
CLM-000214,claim,126.98,software_issue,2023-01-09
CLM-000215,claim,205.51,accidental_damage,2024-02-28
CLM-000216,claim,54.29,screen_damage,2023-09-22
CLM-000217,claim,204.02,accidental_damage,2024-09-05
CLM-000218,claim,283.88,water_damage,2023-10-29
CLM-000219,claim,146.86,mechanical_failure,2024-08-19
CLM-000220,claim,588.22,water_damage,2023-11-11
CLM-000221,claim,135.19,water_damage,2023-01-10
CLM-000222,claim,502.0,mechanical_failure,2024-07-04
CLM-000223,claim,419.15,theft,2023-07-01
CLM-000224,claim,196.03,mechanical_failure,2024-11-08
CLM-000225,claim,141.51,accidental_damage,2024-10-20
CLM-000226,claim,1100.68,theft,2024-11-27
CLM-000227,claim,1052.52,battery_issue,2023-06-16
CLM-000228,claim,528.67,accidental_damage,2023-08-29
CLM-000229,claim,656.24,screen_damage,2024-01-12
CLM-000230,claim,469.94,mechanical_failure,2023-01-31
CLM-000231,claim,369.78,screen_damage,2024-06-04
CLM-000232,claim,195.59,screen_damage,2024-11-28
CLM-000233,claim,400.21,software_issue,2023-03-02
CLM-000234,claim,198.19,software_issue,2023-07-21
CLM-000235,claim,324.91,accidental_damage,2024-06-26
CLM-000236,claim,253.0,battery_issue,2024-10-22
CLM-000237,claim,264.0,mechanical_failure,2023-12-02
CLM-000238,claim,233.72,software_issue,2023-03-18
CLM-000239,claim,123.77,theft,2024-05-09
CLM-000240,claim,185.43,water_damage,2024-07-03
CLM-000241,claim,867.5,software_issue,2024-06-13
CLM-000242,claim,168.36,software_issue,2023-10-30
CLM-000243,claim,143.17,software_issue,2024-09-08
CLM-000244,claim,148.24,accidental_damage,2024-11-27
CLM-000245,claim,831.55,software_issue,2023-07-11
CLM-000246,claim,10.91,theft,2024-05-15
CLM-000247,claim,40.22,battery_issue,2023-09-18
CLM-000248,claim,185.7,accidental_damage,2024-11-07
CLM-000249,claim,569.13,accidental_damage,2024-08-31
CLM-000250,claim,234.79,screen_damage,2023-10-17
CLM-000251,claim,179.16,software_issue,2023-07-24
CLM-000252,claim,2021.56,screen_damage,2023-01-10
CLM-000253,claim,170.16,water_damage,2024-03-05
CLM-000254,claim,353.14,water_damage,2023-10-14
CLM-000255,claim,195.14,mechanical_failure,2023-06-19
CLM-000256,claim,239.42,software_issue,2024-01-03
CLM-000257,claim,261.86,software_issue,2023-05-12
CLM-000258,claim,358.59,software_issue,2024-02-10
CLM-000259,claim,460.54,water_damage,2023-01-12
CLM-000260,claim,337.6,water_damage,2024-03-05
CLM-000261,claim,341.87,accidental_damage,2023-10-04
CLM-000262,claim,379.49,theft,2023-03-06
CLM-000263,claim,239.84,software_issue,2023-03-13
CLM-000264,claim,127.87,mechanical_failure,2023-12-22
CLM-000265,claim,29.46,software_issue,2023-10-24
CLM-000266,claim,149.02,water_damage,2024-04-24
CLM-000267,claim,192.07,screen_damage,2024-06-28
CLM-000268,claim,411.4,water_damage,2023-10-20
CLM-000269,claim,479.68,battery_issue,2024-10-16
CLM-000270,claim,133.69,mechanical_failure,2024-08-18
CLM-000271,claim,744.03,mechanical_failure,2023-10-31
CLM-000272,claim,271.53,water_damage,2024-07-28
CLM-000273,claim,670.8,theft,2023-08-08
CLM-000274,claim,158.79,screen_damage,2023-08-08
CLM-000275,claim,600.96,software_issue,2024-04-18
CLM-000276,claim,165.72,accidental_damage,2024-02-26
CLM-000277,claim,40.4,accidental_damage,2024-01-26
CLM-000278,claim,469.34,accidental_damage,2024-07-02
CLM-000279,claim,294.27,battery_issue,2024-08-03
CLM-000280,claim,138.93,software_issue,2024-05-13
CLM-000281,claim,84.49,theft,2024-01-20
CLM-000282,claim,305.09,mechanical_failure,2024-04-20
CLM-000283,claim,122.68,water_damage,2023-05-07
CLM-000284,claim,425.49,theft,2024-11-30
CLM-000285,claim,437.39,screen_damage,2023-12-29
CLM-000286,claim,45.61,screen_damage,2023-01-14
CLM-000287,claim,1073.8,software_issue,2024-08-31
CLM-000288,claim,300.24,screen_damage,2023-06-27
CLM-000289,claim,422.7,mechanical_failure,2024-02-13
CLM-000290,claim,260.82,screen_damage,2023-09-11
CLM-000291,claim,891.36,software_issue,2023-08-21
CLM-000292,claim,153.45,theft,2024-03-07
CLM-000293,claim,254.21,mechanical_failure,2024-01-19
CLM-000294,claim,75.34,battery_issue,2024-01-08
CLM-000295,claim,184.49,mechanical_failure,2023-04-18
CLM-000296,claim,122.19,screen_damage,2024-01-29
CLM-000297,claim,87.08,accidental_damage,2024-01-19
CLM-000298,claim,265.41,software_issue,2023-11-04
CLM-000299,claim,164.37,mechanical_failure,2024-04-25
CLM-000300,claim,685.2,accidental_damage,2024-07-06
CLM-000301,claim,25.49,battery_issue,2023-06-25
CLM-000302,claim,240.56,theft,2023-01-03
CLM-000303,claim,290.66,screen_damage,2024-02-19
CLM-000304,claim,166.47,software_issue,2024-06-13
CLM-000305,claim,324.08,software_issue,2023-03-04
CLM-000306,claim,68.07,accidental_damage,2024-09-13
CLM-000307,claim,208.34,screen_damage,2023-04-18
CLM-000308,claim,285.53,battery_issue,2024-07-23
CLM-000309,claim,41.25,mechanical_failure,2023-07-13
CLM-000310,claim,110.22,mechanical_failure,2024-11-19
CLM-000311,claim,128.5,accidental_damage,2023-07-15
CLM-000312,claim,78.58,screen_damage,2024-04-22
CLM-000313,claim,3006.55,screen_damage,2023-01-24
CLM-000314,claim,165.93,accidental_damage,2024-06-13
CLM-000315,claim,178.24,theft,2024-01-01
CLM-000316,claim,161.51,accidental_damage,2023-01-31
CLM-000317,claim,96.84,accidental_damage,2023-08-19
CLM-000318,claim,979.68,water_damage,2024-05-22
CLM-000319,claim,141.86,software_issue,2023-10-14
CLM-000320,claim,630.69,mechanical_failure,2023-03-02
CLM-000321,claim,94.07,screen_damage,2024-10-16
CLM-000322,claim,423.15,theft,2023-10-22
CLM-000323,claim,369.31,software_issue,2024-10-25
CLM-000324,claim,116.81,battery_issue,2024-08-10
CLM-000325,claim,122.92,mechanical_failure,2023-05-20
CLM-000326,claim,203.09,screen_damage,2024-07-01
CLM-000327,claim,297.15,battery_issue,2023-11-30
CLM-000328,claim,125.4,theft,2024-04-09
CLM-000329,claim,197.53,software_issue,2023-02-20
CLM-000330,claim,201.67,water_damage,2024-11-25
CLM-000331,claim,88.77,battery_issue,2023-08-18
CLM-000332,claim,394.5,water_damage,2024-07-10
CLM-000333,claim,116.86,water_damage,2024-04-01
CLM-000334,claim,235.28,screen_damage,2023-11-16
CLM-000335,claim,231.95,battery_issue,2024-03-24
CLM-000336,claim,545.45,water_damage,2024-10-16
CLM-000337,claim,114.12,software_issue,2023-12-07
CLM-000338,claim,291.34,screen_damage,2024-08-11
CLM-000339,claim,231.56,theft,2023-07-04
CLM-000340,claim,269.85,water_damage,2023-02-21
CLM-000341,claim,122.28,water_damage,2023-10-27
CLM-000342,claim,507.86,battery_issue,2024-06-03
CLM-000343,claim,106.4,software_issue,2024-02-27
CLM-000344,claim,221.76,battery_issue,2024-10-14
CLM-000345,claim,126.63,screen_damage,2024-06-03
CLM-000346,claim,168.77,battery_issue,2024-01-27
CLM-000347,claim,305.44,water_damage,2024-10-03
CLM-000348,claim,226.1,software_issue,2024-05-14
CLM-000349,claim,241.25,screen_damage,2024-07-13
CLM-000350,claim,1127.73,mechanical_failure,2023-07-28
CLM-000351,claim,131.72,theft,2024-03-01
CLM-000352,claim,227.76,water_damage,2023-11-12
CLM-000353,claim,407.4,software_issue,2024-07-30
CLM-000354,claim,253.57,accidental_damage,2023-02-12
CLM-000355,claim,169.58,software_issue,2023-10-23
CLM-000356,claim,110.53,battery_issue,2023-08-30
CLM-000357,claim,64.49,accidental_damage,2023-06-02
CLM-000358,claim,82.78,screen_damage,2024-03-18
CLM-000359,claim,58.32,accidental_damage,2023-11-19
CLM-000360,claim,263.56,battery_issue,2024-01-05
CLM-000361,claim,631.11,theft,2023-08-06
CLM-000362,claim,311.59,screen_damage,2023-03-20
CLM-000363,claim,80.17,theft,2023-10-25
CLM-000364,claim,223.67,theft,2024-08-25
CLM-000365,claim,246.35,screen_damage,2023-03-08
CLM-000366,claim,197.57,accidental_damage,2024-06-11
CLM-000367,claim,151.45,screen_damage,2024-04-18
CLM-000368,claim,88.54,battery_issue,2024-05-08
CLM-000369,claim,580.57,software_issue,2024-01-26
CLM-000370,claim,223.32,battery_issue,2024-09-06
CLM-000371,claim,104.41,theft,2023-08-15
CLM-000372,claim,153.45,theft,2023-06-25
CLM-000373,claim,162.81,water_damage,2024-04-22
CLM-000374,claim,456.5,mechanical_failure,2023-10-05
CLM-000375,claim,145.54,mechanical_failure,2023-08-25
CLM-000376,claim,113.0,accidental_damage,2024-10-20
CLM-000377,claim,195.19,water_damage,2023-12-27
CLM-000378,claim,374.07,screen_damage,2023-11-04
CLM-000379,claim,440.56,theft,2024-07-03
CLM-000380,claim,245.48,software_issue,2023-01-05
CLM-000381,claim,194.75,theft,2024-09-19
CLM-000382,claim,423.64,software_issue,2023-08-30
CLM-000383,claim,75.86,water_damage,2024-11-01
CLM-000384,claim,207.76,water_damage,2024-02-06
CLM-000385,claim,104.8,water_damage,2024-03-16
CLM-000386,claim,282.65,software_issue,2023-08-04
CLM-000387,claim,160.47,software_issue,2024-08-15
CLM-000388,claim,164.73,water_damage,2024-08-19
CLM-000389,claim,778.92,water_damage,2024-10-14
CLM-000390,claim,161.57,mechanical_failure,2024-03-17
CLM-000391,claim,255.34,accidental_damage,2023-09-08
CLM-000392,claim,409.98,mechanical_failure,2023-12-17
CLM-000393,claim,424.87,accidental_damage,2023-08-16
CLM-000394,claim,200.08,software_issue,2023-09-04
CLM-000395,claim,597.73,theft,2024-07-10
CLM-000396,claim,308.51,theft,2023-06-11
CLM-000397,claim,97.54,battery_issue,2024-03-16
CLM-000398,claim,170.51,screen_damage,2023-03-03
CLM-000399,claim,116.64,screen_damage,2023-12-25
CLM-000400,claim,96.13,software_issue,2023-03-17
CLM-000401,claim,319.28,mechanical_failure,2024-07-07
CLM-000402,claim,680.68,battery_issue,2023-09-30
CLM-000403,claim,665.26,theft,2023-11-11
CLM-000404,claim,231.28,accidental_damage,2023-06-18
CLM-000405,claim,1183.38,mechanical_failure,2024-10-15
CLM-000406,claim,289.51,software_issue,2024-02-05
CLM-000407,claim,206.25,water_damage,2024-10-18
CLM-000408,claim,434.62,theft,2023-06-25
CLM-000409,claim,306.01,screen_damage,2024-08-25
CLM-000410,claim,185.14,battery_issue,2023-12-15
CLM-000411,claim,155.13,mechanical_failure,2023-05-27
CLM-000412,claim,272.68,water_damage,2024-03-15
CLM-000413,claim,183.25,screen_damage,2023-07-29
CLM-000414,claim,426.5,mechanical_failure,2023-07-03
CLM-000415,claim,555.84,theft,2024-08-06
CLM-000416,claim,175.07,theft,2024-05-23
CLM-000417,claim,229.95,software_issue,2023-10-11
CLM-000418,claim,157.05,software_issue,2024-06-19
CLM-000419,claim,259.74,accidental_damage,2024-06-13
CLM-000420,claim,244.77,water_damage,2023-03-04
CLM-000421,claim,349.54,mechanical_failure,2023-07-13
CLM-000422,claim,267.75,software_issue,2024-09-18
CLM-000423,claim,98.12,theft,2024-03-03
CLM-000424,claim,1067.96,theft,2024-06-10
CLM-000425,claim,55.54,theft,2024-10-13
CLM-000426,claim,750.6,screen_damage,2023-07-05
CLM-000427,claim,259.1,battery_issue,2023-03-10
CLM-000428,claim,396.9,theft,2023-09-10
CLM-000429,claim,738.47,battery_issue,2023-02-14
CLM-000430,claim,529.96,accidental_damage,2023-09-27
CLM-000431,claim,317.27,software_issue,2023-01-29
CLM-000432,claim,87.13,water_damage,2023-08-18
CLM-000433,claim,123.85,battery_issue,2023-10-16
CLM-000434,claim,122.05,accidental_damage,2024-01-26
CLM-000435,claim,275.18,theft,2024-06-12
CLM-000436,claim,86.81,battery_issue,2024-06-27
CLM-000437,claim,105.75,battery_issue,2024-10-26
CLM-000438,claim,176.32,screen_damage,2024-03-01
CLM-000439,claim,318.19,water_damage,2024-01-08
CLM-000440,claim,233.75,screen_damage,2023-03-20
CLM-000441,claim,206.74,water_damage,2024-05-19
CLM-000442,claim,306.14,screen_damage,2023-04-29
CLM-000443,claim,165.88,theft,2023-07-01
CLM-000444,claim,779.2,mechanical_failure,2024-06-06
CLM-000445,claim,770.11,battery_issue,2024-07-31
CLM-000446,claim,122.89,water_damage,2024-01-07
CLM-000447,claim,82.46,theft,2023-10-26
CLM-000448,claim,219.42,software_issue,2024-04-21
CLM-000449,claim,617.13,water_damage,2023-02-03
CLM-000450,claim,433.75,mechanical_failure,2023-08-16
CLM-000451,claim,195.12,theft,2023-02-21
CLM-000452,claim,99.83,screen_damage,2024-02-13
CLM-000453,claim,189.41,mechanical_failure,2024-08-03
CLM-000454,claim,429.63,theft,2023-05-22
CLM-000455,claim,390.06,software_issue,2024-01-27
CLM-000456,claim,349.4,battery_issue,2023-09-24
CLM-000457,claim,170.11,screen_damage,2024-10-11
CLM-000458,claim,348.1,software_issue,2023-06-14
CLM-000459,claim,221.09,accidental_damage,2024-05-16
CLM-000460,claim,456.1,water_damage,2023-11-03
CLM-000461,claim,95.9,mechanical_failure,2024-02-04
CLM-000462,claim,150.58,battery_issue,2024-05-23
CLM-000463,claim,288.09,battery_issue,2023-10-19
CLM-000464,claim,209.52,screen_damage,2023-01-27
CLM-000465,claim,220.95,mechanical_failure,2023-10-22
CLM-000466,claim,530.35,software_issue,2024-04-27
CLM-000467,claim,114.0,battery_issue,2024-05-17
CLM-000468,claim,1282.16,battery_issue,2024-05-06
CLM-000469,claim,438.19,screen_damage,2024-06-19
CLM-000470,claim,485.99,screen_damage,2023-04-18
CLM-000471,claim,289.92,battery_issue,2023-07-07
CLM-000472,claim,335.35,mechanical_failure,2024-08-22
CLM-000473,claim,298.17,software_issue,2023-06-28
CLM-000474,claim,141.56,theft,2023-04-18
CLM-000475,claim,166.45,battery_issue,2023-02-05
CLM-000476,claim,411.71,mechanical_failure,2023-11-24
CLM-000477,claim,878.49,software_issue,2024-05-19
CLM-000478,claim,301.83,water_damage,2023-07-05
CLM-000479,claim,176.34,battery_issue,2023-03-17
CLM-000480,claim,620.58,mechanical_failure,2023-07-23
CLM-000481,claim,430.38,mechanical_failure,2024-06-04
CLM-000482,claim,1075.0,accidental_damage,2024-09-09
CLM-000483,claim,255.36,battery_issue,2023-01-06
CLM-000484,claim,516.68,software_issue,2023-08-03
CLM-000485,claim,214.36,screen_damage,2024-11-06
CLM-000486,claim,579.3,accidental_damage,2024-04-29
CLM-000487,claim,333.46,screen_damage,2023-09-27
CLM-000488,claim,433.33,battery_issue,2024-09-25
CLM-000489,claim,237.58,software_issue,2023-12-16
CLM-000490,claim,266.51,accidental_damage,2023-10-30
CLM-000491,claim,1418.72,water_damage,2023-04-04
CLM-000492,claim,240.94,software_issue,2023-03-12
CLM-000493,claim,80.28,battery_issue,2023-08-13
CLM-000494,claim,206.82,mechanical_failure,2024-02-22
CLM-000495,claim,494.08,accidental_damage,2024-11-28
CLM-000496,claim,507.73,mechanical_failure,2023-01-20
CLM-000497,claim,333.98,mechanical_failure,2024-09-24
CLM-000498,claim,241.08,battery_issue,2023-03-09
CLM-000499,claim,401.37,theft,2024-10-31
CLM-000500,claim,186.94,screen_damage,2023-11-21
CLM-000501,claim,140.92,mechanical_failure,2024-04-30
CLM-000502,claim,216.69,accidental_damage,2023-04-29
CLM-000503,claim,270.71,battery_issue,2024-09-21
CLM-000504,claim,455.95,theft,2024-10-03
CLM-000505,claim,235.7,battery_issue,2024-04-15
CLM-000506,claim,429.38,water_damage,2023-03-28
CLM-000507,claim,389.84,battery_issue,2023-05-23
CLM-000508,claim,117.45,screen_damage,2023-02-23
CLM-000509,claim,188.5,screen_damage,2023-05-28
CLM-000510,claim,904.57,software_issue,2023-01-15
CLM-000511,claim,223.0,battery_issue,2024-01-05
CLM-000512,claim,111.81,software_issue,2024-03-18
CLM-000513,claim,253.79,water_damage,2023-11-07
CLM-000514,claim,135.45,software_issue,2023-11-04
CLM-000515,claim,85.7,mechanical_failure,2023-01-03
CLM-000516,claim,144.79,battery_issue,2024-07-02
CLM-000517,claim,311.38,mechanical_failure,2023-03-04
CLM-000518,claim,98.21,water_damage,2023-11-17
CLM-000519,claim,602.18,accidental_damage,2024-02-20
CLM-000520,claim,113.39,software_issue,2023-05-14
CLM-000521,claim,223.71,water_damage,2023-12-22
CLM-000522,claim,130.02,theft,2024-10-04
CLM-000523,claim,217.51,software_issue,2023-01-30
