claim_id,node_degree,community_id,community_size,pagerank_score,n_shared_devices,n_shared_addresses,n_shared_shops,n_shared_payments
CLM-000041,3,29,129,5.714996187027769e-05,5,0,4,0
CLM-000042,3,133,244,5.689878945501343e-05,10,0,9,0
CLM-000043,3,37,170,6.049219858218685e-05,3,0,6,0
CLM-000044,3,81,211,5.9812621534282276e-05,2,0,7,0
CLM-000045,3,39,253,5.71684972266694e-05,4,0,5,0
CLM-000046,2,25,266,4.89538978743798e-05,8,0,0,0
CLM-000047,3,40,252,6.132040220540065e-05,2,0,9,0
CLM-000048,2,81,211,4.719637061248553e-05,1,0,0,0
CLM-000049,3,96,149,5.669156566653823e-05,6,0,6,0
CLM-000050,2,142,134,5.087868733173465e-05,2,0,0,0
CLM-000051,2,31,151,4.733767620450608e-05,1,0,0,0
CLM-000052,2,42,157,7.145132319388335e-05,0,0,0,0
CLM-000053,3,43,117,6.07866293797598e-05,5,0,3,0
CLM-000054,2,31,151,5.4120860593639005e-05,0,0,0,0
CLM-000055,2,17,185,4.924792751815009e-05,3,0,0,0
CLM-000056,2,45,190,4.40438749175018e-05,2,0,0,0
CLM-000057,3,17,185,6.795695509242851e-05,1,0,3,0
CLM-000058,3,42,157,5.465850401978544e-05,7,0,8,0
CLM-000059,2,39,253,4.7268658506902404e-05,4,0,0,0
CLM-000060,3,75,184,5.933707982627268e-05,5,0,5,0
CLM-000061,2,128,197,4.2840869512780716e-05,11,0,0,0
CLM-000062,2,75,184,4.739681965114036e-05,1,0,0,0
CLM-000063,2,6,344,4.5519016073601796e-05,2,0,0,0
CLM-000064,2,133,244,4.235375907405611e-05,6,0,0,0
CLM-000065,3,23,168,5.759046333392947e-05,10,0,4,0
CLM-000066,3,110,151,5.974635598497614e-05,5,0,5,0
CLM-000067,3,50,142,5.626132736201429e-05,7,0,9,0
CLM-000068,2,40,252,4.1796324960853376e-05,5,0,0,0
CLM-000069,2,5,184,4.164202106384565e-05,5,0,0,0
CLM-000070,3,14,186,5.755225317340085e-05,6,0,7,0
CLM-000071,3,1,187,5.8442020177095116e-05,3,0,6,0
CLM-000072,2,122,299,4.420025815402705e-05,3,0,0,0
CLM-000073,2,54,156,4.5777505984368376e-05,2,0,0,0
CLM-000074,3,21,196,6.129431488177689e-05,2,0,3,0
CLM-000075,3,97,185,5.685553597343313e-05,9,0,9,0
CLM-000076,3,120,173,5.853622251328213e-05,3,0,3,0
CLM-000077,2,71,210,4.441484193903337e-05,4,0,0,0
CLM-000078,3,57,193,5.826927025271158e-05,3,0,5,0
CLM-000079,3,54,156,6.523495809671871e-05,1,0,8,0
CLM-000080,2,112,172,4.5432551837169135e-05,2,0,0,0
CLM-000081,2,37,170,5.5087562312191476e-05,0,0,0,0
CLM-000082,3,20,224,6.363791322080314e-05,0,0,11,0
CLM-000083,3,24,168,6.195820272936718e-05,2,0,5,0
CLM-000084,3,133,244,5.785283067687484e-05,4,0,6,0
CLM-000085,2,60,185,4.2581624906348474e-05,3,0,0,0
CLM-000086,3,112,172,6.098023600833884e-05,5,0,8,0
CLM-000087,3,102,256,5.67266337405333e-05,3,0,6,0
CLM-000088,2,21,196,4.21215212919889e-05,5,0,0,0
CLM-000089,3,31,151,5.6075645933686964e-05,7,0,5,0
CLM-000090,3,39,253,5.926646316609829e-05,3,0,6,0
CLM-000091,3,81,211,6.433604996218984e-05,2,0,2,0
CLM-000092,3,46,231,5.560729829949877e-05,5,0,9,0
CLM-000093,3,96,149,6.22378420065391e-05,2,0,4,0
CLM-000094,3,20,224,6.310863913441752e-05,10,0,3,0
CLM-000095,2,17,185,4.710498114649769e-05,2,0,0,0
CLM-000096,3,64,151,6.141423111533224e-05,3,0,6,0
CLM-000097,3,40,252,5.8017392877820693e-05,4,0,11,0
CLM-000098,2,65,160,5.0100204075520654e-05,1,0,0,0
CLM-000099,3,75,184,6.0941358166985516e-05,4,0,3,0
CLM-000100,2,67,251,4.36621050069638e-05,5,0,0,0
CLM-000101,2,60,185,4.08246316255365e-05,3,0,0,0
CLM-000102,3,28,254,5.68073850696165e-05,2,0,7,0
CLM-000103,2,68,161,4.605491178716795e-05,4,0,0,0
CLM-000104,2,111,213,4.1177656457465503e-05,10,0,0,0
CLM-000105,3,102,256,5.787299112116719e-05,3,0,5,0
CLM-000106,2,17,185,4.352307502743292e-05,5,0,0,0
CLM-000107,3,110,151,5.818384660701646e-05,4,0,6,0
CLM-000108,3,70,239,5.597575141808628e-05,5,0,9,0
CLM-000109,3,71,210,7.161497325981392e-05,0,0,5,0
CLM-000110,2,29,129,6.190303086316148e-05,0,0,0,0
CLM-000111,2,6,344,5.11008798680486e-05,2,0,0,0
CLM-000112,3,14,186,5.8934349637558016e-05,4,0,4,0
CLM-000113,3,72,241,5.794093583392078e-05,4,0,3,0
CLM-000114,2,80,306,3.837996050727431e-05,7,0,0,0
CLM-000115,3,67,251,5.9738558804402595e-05,5,0,5,0
CLM-000116,2,126,110,4.6518582286783465e-05,4,0,0,0
CLM-000117,2,28,254,4.072360621066271e-05,4,0,0,0
CLM-000118,3,79,85,6.204734000820178e-05,2,0,8,0
CLM-000119,3,56,91,6.048818380923143e-05,4,0,8,0
CLM-000120,3,122,299,5.841416329525891e-05,2,0,7,0
CLM-000121,3,6,344,5.966444506528154e-05,9,0,7,0
CLM-000122,3,42,157,5.7807607344046065e-05,9,0,3,0
CLM-000123,3,77,134,6.0078862010657566e-05,3,0,4,0
CLM-000124,3,78,272,6.999344085848968e-05,0,0,4,0
CLM-000125,3,50,142,5.868284085219846e-05,5,0,13,0
CLM-000126,3,57,193,6.691009552774416e-05,1,0,4,0
CLM-000127,3,54,156,5.6571249967078555e-05,5,0,7,0
CLM-000128,3,80,306,5.929065749325014e-05,1,0,5,0
CLM-000129,3,77,134,5.641574219431613e-05,2,0,9,0
CLM-000130,2,60,185,4.08246316255365e-05,3,0,0,0
CLM-000131,3,86,230,5.8170904043920996e-05,4,0,5,0
CLM-000132,3,19,261,6.039901140427138e-05,8,0,3,0
CLM-000133,3,82,262,5.7626024078672114e-05,1,0,10,0
CLM-000134,3,40,252,5.754692056413898e-05,6,0,8,0
CLM-000135,2,46,231,4.296536774755654e-05,2,0,0,0
CLM-000136,3,136,199,5.885919716303563e-05,3,0,7,0
CLM-000137,3,50,142,6.182621213733725e-05,7,0,1,0
CLM-000138,2,4,171,5.88251066392754e-05,0,0,0,0
CLM-000139,3,148,222,6.233818448520051e-05,3,0,4,0
CLM-000140,3,40,252,5.970602849181689e-05,6,0,8,0
CLM-000141,2,25,266,4.1019476795619e-05,15,0,0,0
CLM-000142,3,60,185,6.0569335000571346e-05,1,0,6,0
CLM-000143,2,25,266,4.072440077364457e-05,15,0,0,0
CLM-000144,3,65,160,6.640420101121089e-05,1,0,3,0
CLM-000145,2,24,168,3.944690911784893e-05,11,0,0,0
CLM-000146,3,7,228,5.9758418977173986e-05,4,0,6,0
CLM-000147,3,78,272,5.681770916353002e-05,2,0,8,0
CLM-000148,3,22,165,6.337800145709131e-05,3,0,4,0
CLM-000149,2,84,191,4.052291641183971e-05,8,0,0,0
CLM-000150,2,22,165,3.856186939184197e-05,15,0,0,0
CLM-000151,3,75,184,5.890619415123127e-05,5,0,5,0
CLM-000152,2,146,202,4.355680637268683e-05,2,0,0,0
CLM-000153,2,86,230,4.1402128826446446e-05,3,0,0,0
CLM-000154,2,1,187,4.0810558114178615e-05,6,0,0,0
CLM-000155,3,68,161,5.923853845950533e-05,4,0,5,0
CLM-000156,3,142,134,5.757360173039281e-05,4,0,4,0
CLM-000157,3,37,170,5.841762765382833e-05,10,0,8,0
CLM-000158,2,82,262,4.6699486964334804e-05,2,0,0,0
CLM-000159,3,80,306,5.9054267866284594e-05,3,0,7,0
CLM-000160,3,37,170,6.757424388031637e-05,2,0,3,0
CLM-000161,3,84,191,6.726981903837915e-05,0,0,5,0
CLM-000162,2,67,251,4.256456607122724e-05,4,0,0,0
CLM-000163,3,82,262,6.029999056213991e-05,4,0,7,0
CLM-000164,3,88,244,5.844609640351949e-05,7,0,8,0
CLM-000165,3,103,178,5.9491877546693234e-05,10,0,9,0
CLM-000166,3,39,253,5.524645055061593e-05,7,0,5,0
CLM-000167,3,42,157,5.691629232164044e-05,4,0,3,0
CLM-000168,3,111,213,5.667854394036653e-05,4,0,9,0
CLM-000169,2,126,110,5.957848683697187e-05,0,0,0,0
CLM-000170,2,148,222,4.840716823362935e-05,4,0,0,0
CLM-000171,3,19,261,5.958919870979492e-05,9,0,6,0
CLM-000172,3,46,231,5.543429258732222e-05,5,0,7,0
CLM-000173,2,33,252,4.2949791870288313e-05,2,0,0,0
CLM-000174,3,79,85,6.538244748237204e-05,1,0,8,0
CLM-000175,2,139,96,5.863574418483365e-05,2,0,0,0
CLM-000176,3,90,201,5.6191151701904115e-05,6,0,8,0
CLM-000177,3,135,141,6.326818360867196e-05,2,0,7,0
CLM-000178,3,126,110,7.281522473143204e-05,0,0,5,0
CLM-000179,2,19,261,4.314666897072788e-05,8,0,0,0
CLM-000180,2,28,254,5.105435603516879e-05,1,0,0,0
CLM-000181,3,6,344,5.8240333238984365e-05,6,0,6,0
CLM-000182,3,84,191,5.5098792365193505e-05,8,0,8,0
CLM-000183,3,78,272,6.89673968177569e-05,1,0,3,0
CLM-000184,3,6,344,5.621512247259705e-05,6,0,6,0
CLM-000185,2,78,272,4.6280897130154335e-05,2,0,0,0
CLM-000186,3,86,230,5.80034604838307e-05,4,0,5,0
CLM-000187,3,28,254,6.419216245307256e-05,2,0,4,0
CLM-000188,3,56,91,5.856774293100326e-05,5,0,5,0
CLM-000189,2,25,266,4.6958651298084976e-05,2,0,0,0
CLM-000190,2,40,252,4.706574472937069e-05,6,0,0,0
CLM-000191,3,25,266,5.9337409081531926e-05,1,0,5,0
CLM-000192,2,21,196,4.2927075089929254e-05,7,0,0,0
CLM-000193,3,70,239,6.0051342255606206e-05,3,0,7,0
CLM-000194,2,94,78,4.9716132704305494e-05,2,0,0,0
CLM-000195,3,19,261,5.986495949039389e-05,2,0,8,0
CLM-000196,2,88,244,4.581085615105794e-05,2,0,0,0
CLM-000197,3,31,151,5.8974028474571864e-05,6,0,4,0
CLM-000198,3,7,228,5.770800079402793e-05,5,0,7,0
CLM-000199,3,77,134,6.223775406604883e-05,1,0,6,0
CLM-000200,3,126,110,7.067821625464184e-05,0,0,8,0
CLM-000201,2,1,187,4.522337298188853e-05,3,0,0,0
CLM-000202,3,87,114,5.582570682520215e-05,3,0,7,0
CLM-000203,2,96,149,5.034986765865901e-05,1,0,0,0
CLM-000204,2,77,134,4.232265356773153e-05,7,0,0,0
CLM-000205,3,25,266,5.626095652785224e-05,3,0,7,0
CLM-000206,3,50,142,5.5934266558661574e-05,7,0,11,0
CLM-000207,3,71,210,6.204471007648584e-05,4,0,2,0
CLM-000208,3,70,239,5.70035108505873e-05,6,0,7,0
CLM-000209,2,68,161,4.3957769219001456e-05,7,0,0,0
CLM-000210,2,28,254,3.998440276952637e-05,5,0,0,0
CLM-000211,3,21,196,6.064580371482787e-05,6,0,6,0
CLM-000212,3,102,256,5.691135336163844e-05,4,0,8,0
CLM-000213,3,97,185,6.245077387075345e-05,2,0,4,0
CLM-000214,2,150,122,4.490427457026126e-05,4,0,0,0
CLM-000215,3,111,213,5.655397401484284e-05,7,0,3,0
CLM-000216,2,122,299,4.259094055419545e-05,3,0,0,0
CLM-000217,2,16,208,4.03026481303636e-05,5,0,0,0
CLM-000218,3,99,204,5.689679043446386e-05,2,0,5,0
CLM-000219,2,84,191,4.513649319223986e-05,1,0,0,0
CLM-000220,3,6,344,7.873999422588067e-05,0,0,9,0
CLM-000221,3,122,299,6.420019232461765e-05,3,0,4,0
CLM-000222,3,46,231,5.6257881737654916e-05,5,0,8,0
CLM-000223,3,78,272,5.641753124937035e-05,9,0,9,0
CLM-000224,3,148,222,5.314943835551028e-05,12,0,11,0
CLM-000225,3,139,96,5.7018107418029524e-05,4,0,4,0
CLM-000226,2,88,244,5.8267622695407976e-05,0,0,0,0
CLM-000227,2,87,114,4.489055421717094e-05,9,0,0,0
CLM-000228,3,71,210,5.995637546757029e-05,3,0,5,0
CLM-000229,3,148,222,6.265883977434613e-05,4,0,4,0
CLM-000230,2,56,91,6.420067470230188e-05,0,0,0,0
CLM-000231,3,111,213,6.497167445772438e-05,0,0,5,0
CLM-000232,2,128,197,4.2840869512780716e-05,11,0,0,0
CLM-000233,2,37,170,4.165054180670298e-05,10,0,0,0
CLM-000234,2,72,241,4.108512479530032e-05,6,0,0,0
CLM-000235,3,6,344,6.210916880213028e-05,2,0,6,0
CLM-000236,3,28,254,5.6447129159445736e-05,4,0,4,0
CLM-000237,2,102,256,4.0620955693892114e-05,5,0,0,0
CLM-000238,2,102,256,4.085480462058601e-05,8,0,0,0
CLM-000239,2,87,114,4.30651738260661e-05,2,0,0,0
CLM-000240,2,103,178,4.670747833941739e-05,4,0,0,0
CLM-000241,2,8,77,4.920425816547732e-05,2,0,0,0
CLM-000242,3,37,170,6.092406314619551e-05,5,0,3,0
CLM-000243,2,52,65,4.900938658560707e-05,1,0,0,0
CLM-000244,3,123,185,6.181888456957224e-05,5,0,11,0
CLM-000245,3,71,210,6.185565860969907e-05,3,0,6,0
CLM-000246,3,88,244,5.851412096123547e-05,3,0,3,0
CLM-000247,2,20,224,4.427101720224713e-05,4,0,0,0
CLM-000248,2,78,272,4.156585524064432e-05,7,0,0,0
CLM-000249,3,81,211,7.102228963416282e-05,0,0,12,0
CLM-000250,2,67,251,4.3619798101266e-05,2,0,0,0
CLM-000251,2,107,161,4.062878761882746e-05,6,0,0,0
CLM-000252,2,82,262,4.241715950671648e-05,4,0,0,0
CLM-000253,3,25,266,5.9491955726135626e-05,1,0,8,0
CLM-000254,2,77,134,4.1126578377831664e-05,3,0,0,0
CLM-000255,2,2,86,4.1799338843171726e-05,5,0,0,0
CLM-000256,2,124,145,4.409719437733463e-05,3,0,0,0
CLM-000257,2,19,261,5.9941801601841146e-05,0,0,0,0
CLM-000258,3,111,213,6.279442599291918e-05,1,0,6,0
CLM-000259,3,4,171,5.5222584386306586e-05,4,0,8,0
CLM-000260,3,65,160,6.005656072919387e-05,7,0,8,0
CLM-000261,3,70,239,6.006202663807079e-05,8,0,4,0
CLM-000262,2,102,256,4.803116076277031e-05,4,0,0,0
CLM-000263,2,39,253,4.417005164187853e-05,4,0,0,0
CLM-000264,3,110,151,5.990295264740993e-05,4,0,3,0
CLM-000265,3,4,171,5.8678645118613555e-05,5,0,4,0
CLM-000266,3,40,252,5.703976131190159e-05,6,0,6,0
CLM-000267,2,19,261,4.1169678416235744e-05,9,0,0,0
CLM-000268,3,72,241,6.0096100271189886e-05,4,0,3,0
CLM-000269,2,23,168,4.5952923923286256e-05,4,0,0,0
CLM-000270,2,71,210,4.464684062307556e-05,4,0,0,0
CLM-000271,2,112,172,4.698538430401435e-05,2,0,0,0
CLM-000272,3,29,129,5.7217012805235447e-05,5,0,6,0
CLM-000273,2,37,170,4.65925251085383e-05,3,0,0,0
CLM-000274,3,23,168,6.0214071958454e-05,4,0,6,0
CLM-000275,3,46,231,5.5320636395624e-05,5,0,9,0
CLM-000276,2,81,211,4.190152058876054e-05,8,0,0,0
CLM-000277,2,24,168,4.008482407494735e-05,11,0,0,0
CLM-000278,3,122,299,6.0313118072581555e-05,4,0,2,0
CLM-000279,3,19,261,6.26014626712523e-05,8,0,5,0
CLM-000280,3,11,82,6.021583669251909e-05,2,0,8,0
CLM-000281,3,113,112,6.639357605168106e-05,0,0,9,0
CLM-000282,3,148,222,5.385773238859797e-05,12,0,6,0
CLM-000283,2,21,196,3.937759305261846e-05,4,0,0,0
CLM-000284,2,107,161,4.062878761882746e-05,6,0,0,0
CLM-000285,2,33,252,4.2698973286605285e-05,8,0,0,0
CLM-000286,3,12,118,6.297562015850314e-05,5,0,3,0
CLM-000287,3,111,213,6.653973947612119e-05,2,0,5,0
CLM-000288,3,112,172,6.253027100236027e-05,2,0,8,0
CLM-000289,3,23,168,7.351711194007232e-05,0,0,5,0
CLM-000290,3,37,170,6.912253776283903e-05,2,0,6,0
CLM-000291,3,7,228,5.4552287392968014e-05,7,0,6,0
CLM-000292,3,24,168,5.896832307347494e-05,4,0,3,0
CLM-000293,2,102,256,5.5754587967694926e-05,0,0,0,0
CLM-000294,2,33,252,4.2698973286605285e-05,8,0,0,0
CLM-000295,3,103,178,5.741733279610286e-05,5,0,4,0
CLM-000296,2,131,61,4.8522394566352234e-05,1,0,0,0
CLM-000297,3,31,151,5.696573932068209e-05,8,0,11,0
CLM-000298,3,80,306,5.669468003449255e-05,3,0,5,0
CLM-000299,2,115,5,7.834125474411441e-05,0,0,0,0
CLM-000300,2,20,224,4.184966895750252e-05,7,0,0,0
CLM-000301,3,88,244,6.51071207044989e-05,2,0,2,0
CLM-000302,3,67,251,5.44762562223391e-05,6,0,6,0
CLM-000303,3,80,306,6.024770825880854e-05,1,0,9,0
CLM-000304,3,148,222,7.339706357678299e-05,0,0,9,0
CLM-000305,3,56,91,7.363328627577058e-05,0,0,12,0
CLM-000306,2,84,191,4.451855413480109e-05,5,0,0,0
CLM-000307,3,50,142,5.593654560859082e-05,3,0,4,0
CLM-000308,3,54,156,5.779125900059293e-05,4,0,6,0
CLM-000309,2,124,145,6.0971647304040273e-05,0,0,0,0
CLM-000310,2,67,251,4.3799148588723545e-05,3,0,0,0
CLM-000311,3,68,161,7.203326471383941e-05,1,0,6,0
CLM-000312,3,22,165,5.6752806060426e-05,2,0,5,0
CLM-000313,3,103,178,5.893586416915945e-05,3,0,7,0
CLM-000314,2,33,252,4.8025280222714846e-05,2,0,0,0
CLM-000315,3,54,156,7.426048258167632e-05,0,0,11,0
CLM-000316,3,28,254,5.614865909062542e-05,8,0,5,0
CLM-000317,3,2,86,5.71764053045275e-05,5,0,8,0
CLM-000318,2,67,251,4.3829441533348095e-05,3,0,0,0
CLM-000319,2,117,108,4.665072952352677e-05,3,0,0,0
CLM-000320,3,71,210,6.287439686610616e-05,3,0,5,0
CLM-000321,2,87,114,4.3469962450697203e-05,8,0,0,0
CLM-000322,3,19,261,6.019232519714468e-05,3,0,5,0
CLM-000323,2,64,151,4.407775793044435e-05,5,0,0,0
CLM-000324,2,14,186,4.769726848571069e-05,2,0,0,0
CLM-000325,3,113,112,5.856406887766103e-05,5,0,7,0
CLM-000326,2,120,173,5.032716825852471e-05,1,0,0,0
CLM-000327,3,28,254,6.772385899248661e-05,0,0,7,0
CLM-000328,3,90,201,5.4643107715579666e-05,5,0,5,0
CLM-000329,3,87,114,5.715638276744349e-05,8,0,3,0
CLM-000330,3,148,222,5.509997572585477e-05,6,0,7,0
CLM-000331,3,103,178,5.8622226394761386e-05,3,0,4,0
CLM-000332,2,29,129,6.409182720062875e-05,0,0,0,0
CLM-000333,2,97,185,4.02633369694676e-05,9,0,0,0
CLM-000334,3,54,156,6.134099059996677e-05,3,0,3,0
CLM-000335,2,39,253,4.293756098759584e-05,4,0,0,0
CLM-000336,3,99,204,5.510900040037909e-05,4,0,6,0
CLM-000337,2,77,134,4.0284355068544204e-05,5,0,0,0
CLM-000338,3,120,173,6.598975284987955e-05,2,0,7,0
CLM-000339,2,142,134,6.45623001884301e-05,0,0,0,0
CLM-000340,2,88,244,4.711590045223501e-05,3,0,0,0
CLM-000341,2,118,113,4.365309753119231e-05,2,0,0,0
CLM-000342,2,84,191,4.277206956995933e-05,3,0,0,0
CLM-000343,3,52,65,6.375390850109143e-05,1,0,10,0
CLM-000344,3,72,241,6.0045562431832964e-05,6,0,6,0
CLM-000345,3,110,151,5.930335884321015e-05,6,0,7,0
CLM-000346,2,119,83,4.55792927351059e-05,2,0,0,0
CLM-000347,2,8,77,5.0080456454695766e-05,2,0,0,0
CLM-000348,3,133,244,5.866117441891932e-05,4,0,2,0
CLM-000349,3,17,185,6.034357886936437e-05,7,0,8,0
CLM-000350,3,78,272,6.22306819173132e-05,1,0,2,0
CLM-000351,3,68,161,5.948690538442059e-05,12,0,4,0
CLM-000352,2,37,170,4.8162730984995784e-05,2,0,0,0
CLM-000353,2,57,193,4.5581017432368025e-05,5,0,0,0
CLM-000354,2,113,112,4.357633544566883e-05,5,0,0,0
CLM-000355,2,19,261,5.683815171598852e-05,2,0,0,0
CLM-000356,3,3,130,5.745744757988835e-05,5,0,9,0
CLM-000357,2,102,256,4.548952622327532e-05,4,0,0,0
CLM-000358,3,65,160,5.7572406633898994e-05,3,0,9,0
CLM-000359,2,6,344,4.108244377951569e-05,14,0,0,0
CLM-000360,3,71,210,5.806187678832504e-05,5,0,8,0
CLM-000361,3,126,110,6.212999620553243e-05,4,0,9,0
CLM-000362,2,136,199,4.2753140949137746e-05,2,0,0,0
CLM-000363,3,112,172,5.984433509487361e-05,2,0,3,0
CLM-000364,3,67,251,5.8331164641580054e-05,5,0,7,0
CLM-000365,3,77,134,6.0355357467040954e-05,4,0,7,0
CLM-000366,2,43,117,5.134531039654548e-05,1,0,0,0
CLM-000367,3,42,157,8.05063178168434e-05,0,0,4,0
CLM-000368,3,96,149,6.694884620758208e-05,1,0,4,0
CLM-000369,2,120,173,4.155918760463877e-05,7,0,0,0
CLM-000370,2,60,185,5.460105059544266e-05,0,0,0,0
CLM-000371,3,88,244,5.530549604343679e-05,8,0,5,0
CLM-000372,3,133,244,5.7667749234866594e-05,8,0,5,0
CLM-000373,3,19,261,6.472335363918574e-05,4,0,4,0
CLM-000374,2,81,211,6.953337091930508e-05,0,0,0,0
CLM-000375,3,111,213,6.313294439301491e-05,1,0,4,0
CLM-000376,3,146,202,6.388743315943719e-05,1,0,10,0
CLM-000377,3,25,266,5.4509831482038145e-05,15,0,9,0
CLM-000378,3,75,184,5.723188913025545e-05,6,0,5,0
CLM-000379,2,142,134,4.6414685449688084e-05,2,0,0,0
CLM-000380,2,50,142,4.772490049994862e-05,2,0,0,0
CLM-000381,3,79,85,5.8934287019486955e-05,6,0,9,0
CLM-000382,3,80,306,5.407498514371377e-05,7,0,4,0
CLM-000383,3,126,110,6.083613530132848e-05,3,0,7,0
CLM-000384,2,33,252,4.663916946565057e-05,1,0,0,0
CLM-000385,3,102,256,5.6154871693153394e-05,4,0,8,0
CLM-000386,2,112,172,4.349736288542699e-05,4,0,0,0
CLM-000387,2,19,261,5.00455857986457e-05,4,0,0,0
CLM-000388,2,70,239,4.8274769797743215e-05,4,0,0,0
CLM-000389,2,7,228,4.310316906061576e-05,2,0,0,0
CLM-000390,3,78,272,6.291733137039592e-05,1,0,12,0
CLM-000391,2,99,204,4.476608167168466e-05,3,0,0,0
CLM-000392,2,2,86,5.5829809649801505e-05,3,0,0,0
CLM-000393,3,133,244,5.7579326077935065e-05,4,0,9,0
CLM-000394,3,28,254,6.350403499106912e-05,1,0,4,0
CLM-000395,2,1,187,4.0810558114178615e-05,6,0,0,0
CLM-000396,3,122,299,6.216042442314316e-05,1,0,4,0
CLM-000397,3,112,172,5.860087370921147e-05,9,0,9,0
CLM-000398,2,25,266,4.127225667525108e-05,6,0,0,0
CLM-000399,3,1,187,5.836375304546729e-05,3,0,9,0
CLM-000400,3,28,254,5.9211470114595526e-05,4,0,5,0
CLM-000401,2,123,185,4.688967024312926e-05,4,0,0,0
CLM-000402,3,25,266,5.901816195561966e-05,8,0,7,0
CLM-000403,2,102,256,4.085480462058601e-05,8,0,0,0
CLM-000404,3,72,241,6.782714233035878e-05,0,0,6,0
CLM-000405,2,24,168,4.5870424371566445e-05,2,0,0,0
CLM-000406,3,99,204,5.422244504834434e-05,3,0,10,0
CLM-000407,2,80,306,4.462651463777707e-05,5,0,0,0
CLM-000408,3,118,113,5.996980150557847e-05,4,0,4,0
CLM-000409,3,122,299,5.602604959720055e-05,11,0,12,0
CLM-000410,3,28,254,5.625191152902296e-05,3,0,5,0
CLM-000411,3,124,145,5.9410244417385374e-05,2,0,8,0
CLM-000412,3,56,91,6.0303255879455315e-05,1,0,8,0
CLM-000413,2,99,204,4.327301169477575e-05,2,0,0,0
CLM-000414,3,22,165,5.5938134687525935e-05,3,0,8,0
CLM-000415,3,88,244,5.746100783080096e-05,7,0,4,0
CLM-000416,2,2,86,4.8656477373119614e-05,1,0,0,0
CLM-000417,2,16,208,4.8714240307935594e-05,3,0,0,0
CLM-000418,3,122,299,5.8161432546985264e-05,5,0,4,0
CLM-000419,2,126,110,4.2674888041227615e-05,5,0,0,0
CLM-000420,2,17,185,4.2450037653305165e-05,7,0,0,0
CLM-000421,2,54,156,4.2159966333545376e-05,4,0,0,0
CLM-000422,3,79,85,6.156872738304208e-05,2,0,9,0
CLM-000423,3,67,251,6.0008826523788354e-05,2,0,4,0
CLM-000424,2,1,187,4.241316349985035e-05,5,0,0,0
CLM-000425,3,28,254,5.694742308698836e-05,6,0,7,0
CLM-000426,3,133,244,5.883011741240485e-05,6,0,6,0
CLM-000427,3,50,142,5.553929094515497e-05,4,0,6,0
CLM-000428,3,78,272,7.82365751098022e-05,0,0,2,0
CLM-000429,3,117,108,5.972506620790473e-05,8,0,4,0
CLM-000430,2,42,157,4.444345252653802e-05,4,0,0,0
