consistency_score,reasoning,confidence,claim_id,is_actual_mismatch,accuracy
0.8697,Description type 'software_issue' matches image damage type,0.8,CLM-001544,False,0.986
0.9083,Description type 'software_issue' matches image damage type,0.8,CLM-006832,False,0.986
0.3093,MISMATCH: Description says 'battery_issue' but image shows 'water_damage',0.75,CLM-005661,True,0.986
0.7694,Description type 'mechanical_failure' matches image damage type,0.8,CLM-007065,False,0.986
0.9343,Description type 'screen_damage' matches image damage type,0.8,CLM-004559,False,0.986
0.9214,Description type 'water_damage' matches image damage type,0.8,CLM-003320,False,0.986
0.8476,Description type 'software_issue' matches image damage type,0.8,CLM-005170,False,0.986
0.8842,Description type 'accidental_damage' matches image damage type,0.8,CLM-005748,False,0.986
0.314,MISMATCH: Description says 'screen_damage' but image shows 'battery_issue',0.75,CLM-002836,True,0.986
0.3382,MISMATCH: Description says 'screen_damage' but image shows 'theft',0.75,CLM-005976,True,0.986
0.728,Description type 'battery_issue' matches image damage type,0.8,CLM-006048,False,0.986
0.8596,Description type 'battery_issue' matches image damage type,0.8,CLM-002211,False,0.986
0.7168,Description type 'accidental_damage' matches image damage type,0.8,CLM-004801,False,0.986
0.7904,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001025,False,0.986
0.9293,Description type 'software_issue' matches image damage type,0.8,CLM-001047,False,0.986
0.9396,Description type 'screen_damage' matches image damage type,0.8,CLM-006587,False,0.986
0.3267,MISMATCH: Description says 'battery_issue' but image shows 'theft',0.75,CLM-005231,True,0.986
0.21,MISMATCH: Description says 'theft' but image shows 'screen_damage',0.75,CLM-001559,True,0.986
0.9496,Description type 'water_damage' matches image damage type,0.8,CLM-000178,False,0.986
0.2016,MISMATCH: Description says 'screen_damage' but image shows 'mechanical_failure',0.75,CLM-002901,True,0.986
0.224,MISMATCH: Description says 'battery_issue' but image shows 'accidental_damage',0.75,CLM-001670,True,0.986
0.7908,Description type 'accidental_damage' matches image damage type,0.8,CLM-007051,False,0.986
0.7421,Description type 'software_issue' matches image damage type,0.8,CLM-005747,False,0.986
0.8569,Description type 'battery_issue' matches image damage type,0.8,CLM-001003,False,0.986
0.7595,Description type 'software_issue' matches image damage type,0.8,CLM-007029,False,0.986
0.7208,Description type 'software_issue' matches image damage type,0.8,CLM-000958,False,0.986
0.7318,Description type 'water_damage' matches image damage type,0.8,CLM-005819,False,0.986
0.7878,Description type 'screen_damage' matches image damage type,0.8,CLM-002448,False,0.986
0.128,MISMATCH: Description says 'software_issue' but image shows 'theft',0.75,CLM-000643,True,0.986
0.9376,Description type 'theft' matches image damage type,0.8,CLM-005721,False,0.986
0.8368,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004122,False,0.986
0.8876,Description type 'battery_issue' matches image damage type,0.8,CLM-003998,False,0.986
0.848,Description type 'battery_issue' matches image damage type,0.8,CLM-001513,False,0.986
0.9497,Description type 'water_damage' matches image damage type,0.8,CLM-004665,False,0.986
0.1893,MISMATCH: Description says 'screen_damage' but image shows 'software_issue',0.75,CLM-001196,True,0.986
0.7674,Description type 'theft' matches image damage type,0.8,CLM-003033,False,0.986
0.7419,Description type 'battery_issue' matches image damage type,0.8,CLM-000539,False,0.986
0.862,Description type 'screen_damage' matches image damage type,0.8,CLM-006047,False,0.986
0.9159,Description type 'water_damage' matches image damage type,0.8,CLM-002623,False,0.986
0.3349,MISMATCH: Description says 'mechanical_failure' but image shows 'water_damage',0.75,CLM-000309,True,0.986
0.1721,MISMATCH: Description says 'software_issue' but image shows 'battery_issue',0.75,CLM-005891,True,0.986
0.9204,Description type 'accidental_damage' matches image damage type,0.8,CLM-005699,False,0.986
0.7449,Description type 'theft' matches image damage type,0.8,CLM-006056,False,0.986
0.7212,Description type 'accidental_damage' matches image damage type,0.8,CLM-001618,False,0.986
0.7536,Description type 'software_issue' matches image damage type,0.8,CLM-003194,False,0.986
0.8314,Description type 'water_damage' matches image damage type,0.8,CLM-002510,False,0.986
0.2403,MISMATCH: Description says 'water_damage' but image shows 'theft',0.75,CLM-003947,True,0.986
0.8028,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001145,False,0.986
0.8246,Description type 'accidental_damage' matches image damage type,0.8,CLM-000430,False,0.986
0.8748,Description type 'mechanical_failure' matches image damage type,0.8,CLM-006575,False,0.986
0.837,Description type 'software_issue' matches image damage type,0.8,CLM-003940,False,0.986
0.7058,Description type 'water_damage' matches image damage type,0.8,CLM-002070,False,0.986
0.9338,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001216,False,0.986
0.7875,Description type 'theft' matches image damage type,0.8,CLM-000504,False,0.986
0.713,Description type 'accidental_damage' matches image damage type,0.8,CLM-003528,False,0.986
0.1296,MISMATCH: Description says 'theft' but image shows 'mechanical_failure',0.75,CLM-000102,True,0.986
0.8379,Description type 'theft' matches image damage type,0.8,CLM-003380,False,0.986
0.2288,MISMATCH: Description says 'accidental_damage' but image shows 'software_issue',0.75,CLM-002355,True,0.986
0.7349,Description type 'accidental_damage' matches image damage type,0.8,CLM-000133,False,0.986
0.8722,Description type 'software_issue' matches image damage type,0.8,CLM-003485,False,0.986
0.573,Partial match: 'accidental_damage' somewhat related to 'screen_damage',0.6,CLM-005794,True,0.986
0.7083,Description type 'accidental_damage' matches image damage type,0.8,CLM-005100,False,0.986
0.3384,MISMATCH: Description says 'theft' but image shows 'screen_damage',0.75,CLM-002329,True,0.986
0.7029,Description type 'water_damage' matches image damage type,0.8,CLM-006683,False,0.986
0.1845,MISMATCH: Description says 'mechanical_failure' but image shows 'theft',0.75,CLM-003693,True,0.986
0.9336,Description type 'screen_damage' matches image damage type,0.8,CLM-004222,False,0.986
0.292,MISMATCH: Description says 'battery_issue' but image shows 'accidental_damage',0.75,CLM-003560,True,0.986
0.7237,Description type 'water_damage' matches image damage type,0.8,CLM-000535,False,0.986
0.8974,Description type 'screen_damage' matches image damage type,0.8,CLM-001567,False,0.986
0.3208,Partial match: 'mechanical_failure' somewhat related to 'battery_issue',0.6,CLM-005441,True,0.986
0.8367,Description type 'battery_issue' matches image damage type,0.8,CLM-006231,False,0.986
0.3374,MISMATCH: Description says 'battery_issue' but image shows 'screen_damage',0.75,CLM-003154,True,0.986
0.9437,Description type 'screen_damage' matches image damage type,0.8,CLM-002346,False,0.986
0.1045,MISMATCH: Description says 'mechanical_failure' but image shows 'water_damage',0.75,CLM-004591,True,0.986
0.8797,Description type 'screen_damage' matches image damage type,0.8,CLM-002288,False,0.986
0.7893,Description type 'software_issue' matches image damage type,0.8,CLM-005239,False,0.986
0.762,Description type 'mechanical_failure' matches image damage type,0.8,CLM-006670,False,0.986
0.946,Description type 'software_issue' matches image damage type,0.8,CLM-000536,False,0.986
0.9432,Description type 'software_issue' matches image damage type,0.8,CLM-002116,False,0.986
0.3033,MISMATCH: Description says 'screen_damage' but image shows 'water_damage',0.75,CLM-001609,True,0.986
0.8381,Description type 'software_issue' matches image damage type,0.8,CLM-003108,False,0.986
0.9483,Description type 'theft' matches image damage type,0.8,CLM-005776,False,0.986
0.2518,MISMATCH: Description says 'theft' but image shows 'screen_damage',0.75,CLM-005845,True,0.986
0.826,Description type 'mechanical_failure' matches image damage type,0.8,CLM-005080,False,0.986
0.7853,Description type 'software_issue' matches image damage type,0.8,CLM-000971,False,0.986
0.7403,Description type 'battery_issue' matches image damage type,0.8,CLM-003993,False,0.986
0.9232,Description type 'theft' matches image damage type,0.8,CLM-001447,False,0.986
0.7879,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001868,False,0.986
0.7521,Description type 'water_damage' matches image damage type,0.8,CLM-005295,False,0.986
0.3063,MISMATCH: Description says 'water_damage' but image shows 'mechanical_failure',0.75,CLM-002619,True,0.986
0.758,Description type 'battery_issue' matches image damage type,0.8,CLM-001407,False,0.986
0.7167,Description type 'water_damage' matches image damage type,0.8,CLM-006168,False,0.986
0.7957,Description type 'screen_damage' matches image damage type,0.8,CLM-001892,False,0.986
0.8691,Description type 'software_issue' matches image damage type,0.8,CLM-000458,False,0.986
0.7326,Description type 'water_damage' matches image damage type,0.8,CLM-003481,False,0.986
0.8688,Description type 'theft' matches image damage type,0.8,CLM-003239,False,0.986
0.7255,Description type 'battery_issue' matches image damage type,0.8,CLM-000038,False,0.986
0.1911,MISMATCH: Description says 'screen_damage' but image shows 'mechanical_failure',0.75,CLM-002943,True,0.986
0.3376,MISMATCH: Description says 'software_issue' but image shows 'battery_issue',0.75,CLM-001010,True,0.986
0.7055,Description type 'accidental_damage' matches image damage type,0.8,CLM-006856,False,0.986
0.9187,Description type 'theft' matches image damage type,0.8,CLM-001545,False,0.986
0.7675,Description type 'battery_issue' matches image damage type,0.8,CLM-004529,False,0.986
0.8506,Description type 'accidental_damage' matches image damage type,0.8,CLM-004476,False,0.986
0.9404,Description type 'mechanical_failure' matches image damage type,0.8,CLM-007016,False,0.986
0.8757,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004999,False,0.986
0.2794,MISMATCH: Description says 'mechanical_failure' but image shows 'screen_damage',0.75,CLM-001873,True,0.986
0.8513,Description type 'water_damage' matches image damage type,0.8,CLM-006765,False,0.986
0.8658,Description type 'water_damage' matches image damage type,0.8,CLM-005267,False,0.986
0.7385,Description type 'screen_damage' matches image damage type,0.8,CLM-003616,False,0.986
0.2611,MISMATCH: Description says 'water_damage' but image shows 'battery_issue',0.75,CLM-003640,True,0.986
0.8327,Description type 'accidental_damage' matches image damage type,0.8,CLM-003683,False,0.986
0.8433,Description type 'accidental_damage' matches image damage type,0.8,CLM-005011,False,0.986
0.9206,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004691,False,0.986
0.7271,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004018,False,0.986
0.7912,Description type 'water_damage' matches image damage type,0.8,CLM-001043,False,0.986
0.307,MISMATCH: Description says 'mechanical_failure' but image shows 'screen_damage',0.75,CLM-002524,True,0.986
0.8609,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001088,False,0.986
0.8194,Description type 'water_damage' matches image damage type,0.8,CLM-006396,False,0.986
0.9235,Description type 'theft' matches image damage type,0.8,CLM-006351,False,0.986
0.7967,Description type 'battery_issue' matches image damage type,0.8,CLM-001741,False,0.986
0.7944,Description type 'theft' matches image damage type,0.8,CLM-002209,False,0.986
0.7016,Description type 'screen_damage' matches image damage type,0.8,CLM-002534,False,0.986
0.3104,MISMATCH: Description says 'theft' but image shows 'screen_damage',0.75,CLM-000933,True,0.986
0.7734,Description type 'battery_issue' matches image damage type,0.8,CLM-003575,False,0.986
0.9447,Description type 'screen_damage' matches image damage type,0.8,CLM-005012,False,0.986
0.8422,Description type 'water_damage' matches image damage type,0.8,CLM-001336,False,0.986
0.9324,Description type 'accidental_damage' matches image damage type,0.8,CLM-003930,False,0.986
0.7014,Description type 'screen_damage' matches image damage type,0.8,CLM-002629,False,0.986
0.9454,Description type 'theft' matches image damage type,0.8,CLM-002615,False,0.986
0.2329,MISMATCH: Description says 'screen_damage' but image shows 'battery_issue',0.75,CLM-006109,True,0.986
0.8463,Description type 'water_damage' matches image damage type,0.8,CLM-003845,False,0.986
0.7281,Description type 'software_issue' matches image damage type,0.8,CLM-000234,False,0.986
0.2441,MISMATCH: Description says 'mechanical_failure' but image shows 'software_issue',0.75,CLM-004344,True,0.986
0.7732,Description type 'mechanical_failure' matches image damage type,0.8,CLM-000051,False,0.986
0.769,Description type 'software_issue' matches image damage type,0.8,CLM-006847,False,0.986
0.7404,Description type 'screen_damage' matches image damage type,0.8,CLM-005303,False,0.986
0.7571,Description type 'water_damage' matches image damage type,0.8,CLM-001316,False,0.986
0.7516,Description type 'theft' matches image damage type,0.8,CLM-004329,False,0.986
0.8634,Description type 'battery_issue' matches image damage type,0.8,CLM-003432,False,0.986
0.7727,Description type 'software_issue' matches image damage type,0.8,CLM-006631,False,0.986
0.3345,MISMATCH: Description says 'water_damage' but image shows 'battery_issue',0.75,CLM-001091,True,0.986
0.8347,Description type 'theft' matches image damage type,0.8,CLM-001373,False,0.986
0.74,Description type 'water_damage' matches image damage type,0.8,CLM-002446,False,0.986
0.7511,Description type 'theft' matches image damage type,0.8,CLM-004899,False,0.986
0.8608,Description type 'battery_issue' matches image damage type,0.8,CLM-001836,False,0.986
0.899,Description type 'screen_damage' matches image damage type,0.8,CLM-003574,False,0.986
0.749,Description type 'accidental_damage' matches image damage type,0.8,CLM-004042,False,0.986
0.7215,Description type 'theft' matches image damage type,0.8,CLM-005957,False,0.986
0.1091,MISMATCH: Description says 'theft' but image shows 'accidental_damage',0.75,CLM-006169,True,0.986
0.7488,Description type 'screen_damage' matches image damage type,0.8,CLM-006684,False,0.986
0.7241,Description type 'water_damage' matches image damage type,0.8,CLM-004980,False,0.986
0.7424,Description type 'software_issue' matches image damage type,0.8,CLM-003762,False,0.986
0.7985,Description type 'mechanical_failure' matches image damage type,0.8,CLM-005962,False,0.986
0.7216,Description type 'software_issue' matches image damage type,0.8,CLM-001176,False,0.986
0.8165,Description type 'accidental_damage' matches image damage type,0.8,CLM-000020,False,0.986
0.7802,Description type 'software_issue' matches image damage type,0.8,CLM-003025,False,0.986
0.8947,Description type 'theft' matches image damage type,0.8,CLM-003130,False,0.986
0.8962,Description type 'accidental_damage' matches image damage type,0.8,CLM-005910,False,0.986
0.7468,Description type 'accidental_damage' matches image damage type,0.8,CLM-005045,False,0.986
0.8809,Description type 'screen_damage' matches image damage type,0.8,CLM-005521,False,0.986
0.8702,Description type 'screen_damage' matches image damage type,0.8,CLM-000409,False,0.986
0.9186,Description type 'software_issue' matches image damage type,0.8,CLM-003444,False,0.986
0.9277,Description type 'accidental_damage' matches image damage type,0.8,CLM-006535,False,0.986
0.8699,Description type 'battery_issue' matches image damage type,0.8,CLM-004952,False,0.986
0.323,MISMATCH: Description says 'theft' but image shows 'mechanical_failure',0.75,CLM-000066,True,0.986
0.9174,Description type 'battery_issue' matches image damage type,0.8,CLM-001154,False,0.986
0.7714,Description type 'software_issue' matches image damage type,0.8,CLM-002689,False,0.986
0.8621,Description type 'battery_issue' matches image damage type,0.8,CLM-003945,False,0.986
0.8807,Description type 'battery_issue' matches image damage type,0.8,CLM-000436,False,0.986
0.1466,MISMATCH: Description says 'accidental_damage' but image shows 'theft',0.75,CLM-002986,True,0.986
0.7941,Description type 'water_damage' matches image damage type,0.8,CLM-006481,False,0.986
0.7699,Description type 'battery_issue' matches image damage type,0.8,CLM-005097,False,0.986
0.8402,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003319,False,0.986
0.738,Description type 'accidental_damage' matches image damage type,0.8,CLM-005772,False,0.986
0.8924,Description type 'water_damage' matches image damage type,0.8,CLM-000240,False,0.986
0.8498,Description type 'software_issue' matches image damage type,0.8,CLM-004435,False,0.986
0.7238,Description type 'screen_damage' matches image damage type,0.8,CLM-001353,False,0.986
0.7223,Description type 'screen_damage' matches image damage type,0.8,CLM-005722,False,0.986
0.3328,MISMATCH: Description says 'water_damage' but image shows 'screen_damage',0.75,CLM-001413,True,0.986
0.9112,Description type 'accidental_damage' matches image damage type,0.8,CLM-002334,False,0.986
0.7388,Description type 'water_damage' matches image damage type,0.8,CLM-005274,False,0.986
0.7442,Description type 'theft' matches image damage type,0.8,CLM-005988,False,0.986
0.2329,MISMATCH: Description says 'accidental_damage' but image shows 'water_damage',0.75,CLM-006917,True,0.986
0.715,Description type 'software_issue' matches image damage type,0.8,CLM-006609,False,0.986
0.8982,Description type 'battery_issue' matches image damage type,0.8,CLM-004922,False,0.986
0.2736,MISMATCH: Description says 'battery_issue' but image shows 'accidental_damage',0.75,CLM-005113,True,0.986
0.7259,Description type 'software_issue' matches image damage type,0.8,CLM-006594,False,0.986
0.8229,Description type 'software_issue' matches image damage type,0.8,CLM-002756,False,0.986
0.8233,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001502,False,0.986
0.1894,MISMATCH: Description says 'battery_issue' but image shows 'software_issue',0.75,CLM-000829,True,0.986
0.7292,Description type 'accidental_damage' matches image damage type,0.8,CLM-005936,False,0.986
0.8392,Description type 'theft' matches image damage type,0.8,CLM-006104,False,0.986
0.8936,Description type 'theft' matches image damage type,0.8,CLM-007022,False,0.986
0.8682,Description type 'water_damage' matches image damage type,0.8,CLM-006919,False,0.986
0.9444,Description type 'accidental_damage' matches image damage type,0.8,CLM-005799,False,0.986
0.9393,Description type 'accidental_damage' matches image damage type,0.8,CLM-005857,False,0.986
0.9288,Description type 'water_damage' matches image damage type,0.8,CLM-003933,False,0.986
0.8309,Description type 'screen_damage' matches image damage type,0.8,CLM-003543,False,0.986
0.7506,Description type 'accidental_damage' matches image damage type,0.8,CLM-001427,False,0.986
0.7465,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003488,False,0.986
0.8816,Description type 'software_issue' matches image damage type,0.8,CLM-001194,False,0.986
0.7918,Description type 'theft' matches image damage type,0.8,CLM-000080,False,0.986
0.9145,Description type 'screen_damage' matches image damage type,0.8,CLM-004527,False,0.986
0.7999,Description type 'battery_issue' matches image damage type,0.8,CLM-004388,False,0.986
0.7055,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003275,False,0.986
0.1102,MISMATCH: Description says 'battery_issue' but image shows 'software_issue',0.75,CLM-002883,True,0.986
0.7194,Description type 'screen_damage' matches image damage type,0.8,CLM-000231,False,0.986
0.1624,MISMATCH: Description says 'theft' but image shows 'software_issue',0.75,CLM-005010,True,0.986
0.872,Description type 'theft' matches image damage type,0.8,CLM-002514,False,0.986
0.7473,Description type 'screen_damage' matches image damage type,0.8,CLM-000186,False,0.986
0.4892,Partial match: 'mechanical_failure' somewhat related to 'battery_issue',0.6,CLM-003719,True,0.986
0.2507,MISMATCH: Description says 'mechanical_failure' but image shows 'software_issue',0.75,CLM-006985,True,0.986
0.8659,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003972,False,0.986
0.8904,Description type 'mechanical_failure' matches image damage type,0.8,CLM-005242,False,0.986
0.7244,Description type 'screen_damage' matches image damage type,0.8,CLM-003222,False,0.986
0.9315,Description type 'mechanical_failure' matches image damage type,0.8,CLM-000264,False,0.986
0.926,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003519,False,0.986
0.7303,Description type 'mechanical_failure' matches image damage type,0.8,CLM-000734,False,0.986
0.8499,Description type 'screen_damage' matches image damage type,0.8,CLM-006773,False,0.986
0.2323,MISMATCH: Description says 'accidental_damage' but image shows 'software_issue',0.75,CLM-006831,True,0.986
0.7542,Description type 'mechanical_failure' matches image damage type,0.8,CLM-006183,False,0.986
0.8329,Description type 'screen_damage' matches image damage type,0.8,CLM-000469,False,0.986
0.7738,Description type 'mechanical_failure' matches image damage type,0.8,CLM-003232,False,0.986
0.7863,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004651,False,0.986
0.8361,Description type 'water_damage' matches image damage type,0.8,CLM-004839,False,0.986
0.7038,Description type 'battery_issue' matches image damage type,0.8,CLM-004378,False,0.986
0.9491,Description type 'water_damage' matches image damage type,0.8,CLM-002307,False,0.986
0.845,Description type 'mechanical_failure' matches image damage type,0.8,CLM-002628,False,0.986
0.7993,Description type 'screen_damage' matches image damage type,0.8,CLM-001282,False,0.986
0.1437,MISMATCH: Description says 'mechanical_failure' but image shows 'theft',0.75,CLM-002200,True,0.986
0.1332,MISMATCH: Description says 'mechanical_failure' but image shows 'software_issue',0.75,CLM-000092,True,0.986
0.8754,Description type 'screen_damage' matches image damage type,0.8,CLM-003923,False,0.986
0.8916,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001374,False,0.986
0.857,Description type 'water_damage' matches image damage type,0.8,CLM-003734,False,0.986
0.3419,MISMATCH: Description says 'screen_damage' but image shows 'water_damage',0.75,CLM-004480,True,0.986
0.8252,Description type 'battery_issue' matches image damage type,0.8,CLM-001657,False,0.986
0.7322,Description type 'screen_damage' matches image damage type,0.8,CLM-004661,False,0.986
0.3233,MISMATCH: Description says 'screen_damage' but image shows 'water_damage',0.75,CLM-001421,True,0.986
0.9235,Description type 'accidental_damage' matches image damage type,0.8,CLM-006602,False,0.986
0.8217,Description type 'theft' matches image damage type,0.8,CLM-006775,False,0.986
0.7977,Description type 'software_issue' matches image damage type,0.8,CLM-000382,False,0.986
0.9472,Description type 'screen_damage' matches image damage type,0.8,CLM-004387,False,0.986
0.8722,Description type 'accidental_damage' matches image damage type,0.8,CLM-005229,False,0.986
0.7273,Description type 'screen_damage' matches image damage type,0.8,CLM-001546,False,0.986
0.8652,Description type 'water_damage' matches image damage type,0.8,CLM-000107,False,0.986
0.8838,Description type 'accidental_damage' matches image damage type,0.8,CLM-006756,False,0.986
0.8302,Description type 'screen_damage' matches image damage type,0.8,CLM-005534,False,0.986
0.7151,Description type 'software_issue' matches image damage type,0.8,CLM-006704,False,0.986
0.3453,MISMATCH: Description says 'water_damage' but image shows 'software_issue',0.75,CLM-006443,True,0.986
0.2816,MISMATCH: Description says 'theft' but image shows 'screen_damage',0.75,CLM-006556,True,0.986
0.833,Description type 'theft' matches image damage type,0.8,CLM-000787,False,0.986
0.9294,Description type 'theft' matches image damage type,0.8,CLM-001783,False,0.986
0.2335,MISMATCH: Description says 'mechanical_failure' but image shows 'water_damage',0.75,CLM-003690,True,0.986
0.7998,Description type 'screen_damage' matches image damage type,0.8,CLM-002549,False,0.986
0.9336,Description type 'battery_issue' matches image damage type,0.8,CLM-006961,False,0.986
0.733,Description type 'mechanical_failure' matches image damage type,0.8,CLM-000501,False,0.986
0.7661,Description type 'mechanical_failure' matches image damage type,0.8,CLM-000497,False,0.986
0.7193,Description type 'water_damage' matches image damage type,0.8,CLM-000843,False,0.986
0.3371,MISMATCH: Description says 'theft' but image shows 'software_issue',0.75,CLM-000322,True,0.986
0.9395,Description type 'water_damage' matches image damage type,0.8,CLM-001288,False,0.986
0.103,MISMATCH: Description says 'accidental_damage' but image shows 'water_damage',0.75,CLM-004232,True,0.986
0.7697,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004374,False,0.986
0.8567,Description type 'mechanical_failure' matches image damage type,0.8,CLM-001042,False,0.986
0.7871,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004535,False,0.986
0.8209,Description type 'theft' matches image damage type,0.8,CLM-003626,False,0.986
0.2809,MISMATCH: Description says 'accidental_damage' but image shows 'water_damage',0.75,CLM-006255,True,0.986
0.2411,MISMATCH: Description says 'water_damage' but image shows 'mechanical_failure',0.75,CLM-005134,True,0.986
0.8842,Description type 'accidental_damage' matches image damage type,0.8,CLM-003169,False,0.986
0.9375,Description type 'software_issue' matches image damage type,0.8,CLM-003474,False,0.986
0.9042,Description type 'water_damage' matches image damage type,0.8,CLM-000333,False,0.986
0.2291,MISMATCH: Description says 'accidental_damage' but image shows 'theft',0.75,CLM-000545,True,0.986
0.8887,Description type 'theft' matches image damage type,0.8,CLM-005657,False,0.986
0.9288,Description type 'software_issue' matches image damage type,0.8,CLM-001927,False,0.986
0.8329,Description type 'theft' matches image damage type,0.8,CLM-006358,False,0.986
0.9349,Description type 'mechanical_failure' matches image damage type,0.8,CLM-006582,False,0.986
0.8267,Description type 'software_issue' matches image damage type,0.8,CLM-000577,False,0.986
0.147,MISMATCH: Description says 'theft' but image shows 'battery_issue',0.75,CLM-003542,True,0.986
0.7845,Description type 'accidental_damage' matches image damage type,0.8,CLM-005431,False,0.986
0.77,Description type 'screen_damage' matches image damage type,0.8,CLM-006949,False,0.986
0.2865,MISMATCH: Description says 'accidental_damage' but image shows 'water_damage',0.75,CLM-005599,True,0.986
0.8717,Description type 'mechanical_failure' matches image damage type,0.8,CLM-004399,False,0.986
0.2363,MISMATCH: Description says 'battery_issue' but image shows 'theft',0.75,CLM-004055,True,0.986
0.863,Description type 'theft' matches image damage type,0.8,CLM-004795,False,0.986
0.3263,MISMATCH: Description says 'accidental_damage' but image shows 'water_damage',0.75,CLM-003300,True,0.986
0.7753,Description type 'software_issue' matches image damage type,0.8,CLM-000712,False,0.986
0.8527,Description type 'software_issue' matches image damage type,0.8,CLM-004546,False,0.986
0.8092,Description type 'software_issue' matches image damage type,0.8,CLM-000764,False,0.986
0.8555,Description type 'battery_issue' matches image damage type,0.8,CLM-000790,False,0.986
0.7235,Description type 'mechanical_failure' matches image damage type,0.8,CLM-005703,False,0.986
