risk_level,risk_score,recommendation,ml_probability,anomaly_score,graph_risk_indicator,multimodal_inconsistency,top_risk_factors,shap_values,claim_id
LOW,0.0022,APPROVE,0.0022,0.4096,False,False,"['claim_amount: ↑ fraud (1.355)', 'amount_vs_avg: ↑ fraud (0.875)', 'premium_amount: ↑ fraud (0.361)', 'n_shared_shops: ↑ fraud (0.260)', 'amount_vs_device_price: ↓ legitimate (0.204)']","{'claim_amount': 1.3551, 'amount_vs_avg': 0.8752, 'premium_amount': 0.3606, 'n_shared_shops': 0.2599, 'amount_vs_device_price': -0.2041}",CLM-000016
LOW,0.0,APPROVE,0.0,0.4316,False,False,"['claim_amount: ↓ legitimate (0.603)', 'n_shared_shops: ↓ legitimate (0.311)', 'claim_frequency: ↓ legitimate (0.252)', 'amount_vs_device_price: ↓ legitimate (0.196)', 'premium_amount: ↑ fraud (0.185)']","{'claim_amount': -0.6031, 'n_shared_shops': -0.3111, 'claim_frequency': -0.2519, 'amount_vs_device_price': -0.1956, 'premium_amount': 0.1849}",CLM-000017
LOW,0.0,APPROVE,0.0,0.4226,False,False,"['claim_amount: ↓ legitimate (0.698)', 'premium_amount: ↑ fraud (0.301)', 'claim_frequency: ↓ legitimate (0.268)', 'device_age_days: ↑ fraud (0.246)', 'amount_vs_device_price: ↓ legitimate (0.182)']","{'claim_amount': -0.6979, 'premium_amount': 0.3007, 'claim_frequency': -0.2681, 'device_age_days': 0.2461, 'amount_vs_device_price': -0.1817}",CLM-000018
LOW,0.0,APPROVE,0.0,0.4016,False,False,"['claim_amount: ↓ legitimate (0.572)', 'n_shared_shops: ↓ legitimate (0.323)', 'pagerank_score: ↓ legitimate (0.194)', 'claim_type_encoded: ↑ fraud (0.150)', 'device_age_days: ↑ fraud (0.148)']","{'claim_amount': -0.5719, 'n_shared_shops': -0.3234, 'pagerank_score': -0.1936, 'claim_type_encoded': 0.1499, 'device_age_days': 0.1482}",CLM-000019
LOW,0.0,APPROVE,0.0,0.4659,False,False,"['claim_amount: ↓ legitimate (0.593)', 'n_shared_shops: ↓ legitimate (0.333)', 'device_age_days: ↓ legitimate (0.221)', 'premium_amount: ↑ fraud (0.207)', 'amount_vs_device_price: ↓ legitimate (0.175)']","{'claim_amount': -0.5934, 'n_shared_shops': -0.3333, 'device_age_days': -0.2208, 'premium_amount': 0.2069, 'amount_vs_device_price': -0.1748}",CLM-000020
LOW,0.0,APPROVE,0.0,0.4032,False,False,"['claim_amount: ↓ legitimate (0.735)', 'premium_amount: ↑ fraud (0.264)', 'community_size: ↓ legitimate (0.227)', 'amount_vs_device_price: ↓ legitimate (0.196)', 'n_shared_shops: ↑ fraud (0.165)']","{'claim_amount': -0.7352, 'premium_amount': 0.2644, 'community_size': -0.2266, 'amount_vs_device_price': -0.1963, 'n_shared_shops': 0.1655}",CLM-000021
LOW,0.0,APPROVE,0.0,0.4033,False,False,"['claim_amount: ↓ legitimate (0.727)', 'device_age_days: ↓ legitimate (0.328)', 'pagerank_score: ↑ fraud (0.265)', 'community_size: ↑ fraud (0.181)', 'days_since_policy_start: ↓ legitimate (0.177)']","{'claim_amount': -0.7267, 'device_age_days': -0.3278, 'pagerank_score': 0.2653, 'community_size': 0.1812, 'days_since_policy_start': -0.1773}",CLM-000022
LOW,0.0,APPROVE,0.0,0.446,False,False,"['claim_amount: ↓ legitimate (0.577)', 'device_age_days: ↓ legitimate (0.366)', 'claim_frequency: ↓ legitimate (0.267)', 'n_shared_shops: ↓ legitimate (0.263)', 'community_size: ↓ legitimate (0.199)']","{'claim_amount': -0.5772, 'device_age_days': -0.3657, 'claim_frequency': -0.2666, 'n_shared_shops': -0.2635, 'community_size': -0.199}",CLM-000023
LOW,0.0,APPROVE,0.0,0.4291,False,False,"['claim_amount: ↓ legitimate (0.692)', 'device_age_days: ↓ legitimate (0.308)', 'amount_vs_device_price: ↓ legitimate (0.185)', 'n_shared_shops: ↓ legitimate (0.155)', 'days_since_policy_start: ↓ legitimate (0.152)']","{'claim_amount': -0.6918, 'device_age_days': -0.3077, 'amount_vs_device_price': -0.1845, 'n_shared_shops': -0.1546, 'days_since_policy_start': -0.1516}",CLM-000024
LOW,0.0001,APPROVE,0.0001,0.4199,False,False,"['claim_amount: ↓ legitimate (0.660)', 'n_shared_shops: ↓ legitimate (0.420)', 'claim_frequency: ↑ fraud (0.379)', 'days_since_policy_start: ↑ fraud (0.293)', 'device_age_days: ↑ fraud (0.226)']","{'claim_amount': -0.6596, 'n_shared_shops': -0.4202, 'claim_frequency': 0.3793, 'days_since_policy_start': 0.2934, 'device_age_days': 0.2259}",CLM-000025
LOW,0.0,APPROVE,0.0,0.3916,False,False,"['claim_amount: ↓ legitimate (0.750)', 'device_age_days: ↓ legitimate (0.338)', 'amount_vs_device_price: ↓ legitimate (0.165)', 'days_since_policy_start: ↓ legitimate (0.144)', 'claim_frequency: ↓ legitimate (0.119)']","{'claim_amount': -0.7497, 'device_age_days': -0.3379, 'amount_vs_device_price': -0.1645, 'days_since_policy_start': -0.1437, 'claim_frequency': -0.1189}",CLM-000026
LOW,0.0,APPROVE,0.0,0.398,False,False,"['claim_amount: ↓ legitimate (0.763)', 'coverage_utilization: ↓ legitimate (0.414)', 'device_age_days: ↓ legitimate (0.262)', 'pagerank_score: ↑ fraud (0.239)', 'days_since_policy_start: ↑ fraud (0.217)']","{'claim_amount': -0.7633, 'coverage_utilization': -0.414, 'device_age_days': -0.2625, 'pagerank_score': 0.2391, 'days_since_policy_start': 0.2167}",CLM-000027
LOW,0.0,APPROVE,0.0,0.4842,False,False,"['claim_amount: ↓ legitimate (0.495)', 'n_shared_shops: ↓ legitimate (0.268)', 'community_size: ↓ legitimate (0.264)', 'pagerank_score: ↓ legitimate (0.206)', 'device_age_days: ↑ fraud (0.154)']","{'claim_amount': -0.4946, 'n_shared_shops': -0.2684, 'community_size': -0.2636, 'pagerank_score': -0.2059, 'device_age_days': 0.1544}",CLM-000028
LOW,0.0,APPROVE,0.0,0.4706,False,False,"['claim_amount: ↓ legitimate (0.553)', 'coverage_utilization: ↓ legitimate (0.344)', 'n_shared_shops: ↓ legitimate (0.273)', 'claim_frequency: ↓ legitimate (0.246)', 'device_age_days: ↑ fraud (0.230)']","{'claim_amount': -0.5533, 'coverage_utilization': -0.3438, 'n_shared_shops': -0.2731, 'claim_frequency': -0.2465, 'device_age_days': 0.2304}",CLM-000029
LOW,0.0014,APPROVE,0.0014,0.5085,False,False,"['claim_amount: ↑ fraud (2.644)', 'amount_vs_device_price: ↑ fraud (1.154)', 'claim_frequency: ↓ legitimate (1.047)', 'amount_vs_avg: ↑ fraud (0.811)', 'coverage_utilization: ↓ legitimate (0.714)']","{'claim_amount': 2.6437, 'amount_vs_device_price': 1.1538, 'claim_frequency': -1.0473, 'amount_vs_avg': 0.811, 'coverage_utilization': -0.7139}",CLM-000030
LOW,0.0007,APPROVE,0.0007,0.4218,False,False,"['claim_frequency: ↑ fraud (1.125)', 'claim_amount: ↓ legitimate (0.844)', 'amount_vs_device_price: ↑ fraud (0.691)', 'premium_amount: ↑ fraud (0.476)', 'pagerank_score: ↑ fraud (0.388)']","{'claim_frequency': 1.1248, 'claim_amount': -0.8438, 'amount_vs_device_price': 0.6908, 'premium_amount': 0.4763, 'pagerank_score': 0.3881}",CLM-000031
LOW,0.0,APPROVE,0.0,0.4966,False,True,"['claim_amount: ↓ legitimate (0.743)', 'device_age_days: ↓ legitimate (0.260)', 'amount_vs_device_price: ↓ legitimate (0.194)', 'days_since_policy_start: ↓ legitimate (0.163)', 'claim_frequency: ↓ legitimate (0.117)']","{'claim_amount': -0.7431, 'device_age_days': -0.2602, 'amount_vs_device_price': -0.1938, 'days_since_policy_start': -0.1626, 'claim_frequency': -0.1172}",CLM-000032
LOW,0.0001,APPROVE,0.0001,0.3812,False,False,"['claim_amount: ↓ legitimate (0.854)', 'claim_frequency: ↑ fraud (0.415)', 'premium_amount: ↑ fraud (0.324)', 'n_shared_shops: ↓ legitimate (0.216)', 'amount_vs_device_price: ↓ legitimate (0.203)']","{'claim_amount': -0.8544, 'claim_frequency': 0.4148, 'premium_amount': 0.3236, 'n_shared_shops': -0.2164, 'amount_vs_device_price': -0.2033}",CLM-000033
LOW,0.0001,APPROVE,0.0001,0.4095,False,False,"['claim_amount: ↓ legitimate (0.695)', 'amount_vs_avg: ↑ fraud (0.681)', 'premium_amount: ↑ fraud (0.213)', 'pagerank_score: ↓ legitimate (0.209)', 'coverage_utilization: ↑ fraud (0.155)']","{'claim_amount': -0.6949, 'amount_vs_avg': 0.6811, 'premium_amount': 0.2128, 'pagerank_score': -0.209, 'coverage_utilization': 0.1547}",CLM-000034
LOW,0.0,APPROVE,0.0,0.4736,False,False,"['claim_amount: ↑ fraud (1.244)', 'coverage_utilization: ↓ legitimate (0.479)', 'n_shared_shops: ↓ legitimate (0.459)', 'pagerank_score: ↓ legitimate (0.333)', 'device_type_encoded: ↓ legitimate (0.248)']","{'claim_amount': 1.2442, 'coverage_utilization': -0.4787, 'n_shared_shops': -0.4587, 'pagerank_score': -0.3334, 'device_type_encoded': -0.2479}",CLM-000035
LOW,0.0,APPROVE,0.0,0.436,False,False,"['claim_amount: ↓ legitimate (0.595)', 'n_shared_shops: ↓ legitimate (0.347)', 'claim_frequency: ↓ legitimate (0.215)', 'pagerank_score: ↓ legitimate (0.204)', 'device_age_days: ↑ fraud (0.163)']","{'claim_amount': -0.5952, 'n_shared_shops': -0.3472, 'claim_frequency': -0.2151, 'pagerank_score': -0.2039, 'device_age_days': 0.1634}",CLM-000036
LOW,0.0,APPROVE,0.0,0.428,False,False,"['claim_amount: ↓ legitimate (0.555)', 'n_shared_shops: ↓ legitimate (0.295)', 'pagerank_score: ↓ legitimate (0.212)', 'claim_frequency: ↓ legitimate (0.209)', 'amount_vs_device_price: ↓ legitimate (0.150)']","{'claim_amount': -0.5546, 'n_shared_shops': -0.2951, 'pagerank_score': -0.2123, 'claim_frequency': -0.2093, 'amount_vs_device_price': -0.1502}",CLM-000037
LOW,0.0,APPROVE,0.0,0.4558,False,False,"['claim_amount: ↓ legitimate (0.671)', 'device_age_days: ↓ legitimate (0.310)', 'claim_frequency: ↓ legitimate (0.282)', 'community_size: ↓ legitimate (0.205)', 'days_since_policy_start: ↑ fraud (0.199)']","{'claim_amount': -0.6711, 'device_age_days': -0.3105, 'claim_frequency': -0.2824, 'community_size': -0.2048, 'days_since_policy_start': 0.1993}",CLM-000038
LOW,0.0,APPROVE,0.0,0.4294,False,False,"['claim_amount: ↓ legitimate (0.742)', 'community_size: ↓ legitimate (0.281)', 'pagerank_score: ↑ fraud (0.211)', 'amount_vs_device_price: ↓ legitimate (0.172)', 'device_age_days: ↑ fraud (0.127)']","{'claim_amount': -0.7424, 'community_size': -0.2814, 'pagerank_score': 0.2107, 'amount_vs_device_price': -0.1721, 'device_age_days': 0.1269}",CLM-000039
LOW,0.0,APPROVE,0.0,0.4389,False,False,"['claim_amount: ↓ legitimate (0.547)', 'n_shared_shops: ↓ legitimate (0.297)', 'device_age_days: ↓ legitimate (0.256)', 'pagerank_score: ↓ legitimate (0.201)', 'days_since_policy_start: ↑ fraud (0.194)']","{'claim_amount': -0.5467, 'n_shared_shops': -0.2974, 'device_age_days': -0.2556, 'pagerank_score': -0.2012, 'days_since_policy_start': 0.1942}",CLM-000040
LOW,0.0,APPROVE,0.0,0.3966,False,False,"['claim_amount: ↓ legitimate (0.675)', 'device_age_days: ↑ fraud (0.189)', 'pagerank_score: ↓ legitimate (0.183)', 'claim_type_encoded: ↑ fraud (0.138)', 'amount_vs_device_price: ↓ legitimate (0.133)']","{'claim_amount': -0.6754, 'device_age_days': 0.1892, 'pagerank_score': -0.1828, 'claim_type_encoded': 0.1382, 'amount_vs_device_price': -0.1329}",CLM-000041
LOW,0.0001,APPROVE,0.0001,0.4658,False,False,"['claim_amount: ↓ legitimate (0.822)', 'amount_vs_device_price: ↑ fraud (0.713)', 'coverage_utilization: ↓ legitimate (0.326)', 'n_shared_shops: ↑ fraud (0.258)', 'days_since_policy_start: ↓ legitimate (0.248)']","{'claim_amount': -0.8224, 'amount_vs_device_price': 0.7134, 'coverage_utilization': -0.3261, 'n_shared_shops': 0.2582, 'days_since_policy_start': -0.2478}",CLM-000042
LOW,0.0,APPROVE,0.0,0.3933,False,False,"['claim_amount: ↓ legitimate (0.778)', 'premium_amount: ↑ fraud (0.334)', 'amount_vs_device_price: ↓ legitimate (0.215)', 'claim_frequency: ↓ legitimate (0.138)', 'amount_vs_avg: ↓ legitimate (0.111)']","{'claim_amount': -0.778, 'premium_amount': 0.3344, 'amount_vs_device_price': -0.2154, 'claim_frequency': -0.1382, 'amount_vs_avg': -0.1106}",CLM-000043
LOW,0.0,APPROVE,0.0,0.3781,False,False,"['claim_amount: ↓ legitimate (0.720)', 'premium_amount: ↑ fraud (0.368)', 'amount_vs_device_price: ↓ legitimate (0.266)', 'community_size: ↓ legitimate (0.161)', 'days_since_policy_start: ↓ legitimate (0.156)']","{'claim_amount': -0.72, 'premium_amount': 0.3681, 'amount_vs_device_price': -0.2659, 'community_size': -0.1606, 'days_since_policy_start': -0.1563}",CLM-000044
LOW,0.0004,APPROVE,0.0004,0.4777,False,False,"['amount_vs_avg: ↑ fraud (1.352)', 'amount_vs_device_price: ↑ fraud (0.531)', 'community_size: ↓ legitimate (0.261)', 'policy_type_encoded: ↓ legitimate (0.143)', 'claim_type_encoded: ↑ fraud (0.107)']","{'amount_vs_avg': 1.3518, 'amount_vs_device_price': 0.5312, 'community_size': -0.2606, 'policy_type_encoded': -0.1428, 'claim_type_encoded': 0.1073}",CLM-000045
LOW,0.0002,APPROVE,0.0002,0.444,False,False,"['amount_vs_device_price: ↑ fraud (1.413)', 'claim_amount: ↓ legitimate (0.642)', 'claim_frequency: ↑ fraud (0.571)', 'n_shared_shops: ↓ legitimate (0.475)', 'pagerank_score: ↓ legitimate (0.259)']","{'amount_vs_device_price': 1.4134, 'claim_amount': -0.6424, 'claim_frequency': 0.5705, 'n_shared_shops': -0.475, 'pagerank_score': -0.2589}",CLM-000046
LOW,0.0,APPROVE,0.0,0.4124,False,False,"['claim_amount: ↓ legitimate (0.663)', 'community_size: ↓ legitimate (0.185)', 'amount_vs_device_price: ↓ legitimate (0.184)', 'n_shared_shops: ↑ fraud (0.178)', 'premium_amount: ↓ legitimate (0.124)']","{'claim_amount': -0.6629, 'community_size': -0.1852, 'amount_vs_device_price': -0.1837, 'n_shared_shops': 0.178, 'premium_amount': -0.1244}",CLM-000047
LOW,0.0,APPROVE,0.0,0.4239,False,False,"['claim_amount: ↓ legitimate (0.525)', 'n_shared_shops: ↓ legitimate (0.361)', 'claim_frequency: ↓ legitimate (0.269)', 'premium_amount: ↑ fraud (0.217)', 'pagerank_score: ↓ legitimate (0.197)']","{'claim_amount': -0.5248, 'n_shared_shops': -0.3615, 'claim_frequency': -0.2688, 'premium_amount': 0.217, 'pagerank_score': -0.1974}",CLM-000048
LOW,0.0,APPROVE,0.0,0.384,False,False,"['claim_amount: ↓ legitimate (0.730)', 'claim_frequency: ↓ legitimate (0.276)', 'amount_vs_device_price: ↓ legitimate (0.188)', 'device_age_days: ↑ fraud (0.178)', 'pagerank_score: ↓ legitimate (0.140)']","{'claim_amount': -0.7302, 'claim_frequency': -0.2763, 'amount_vs_device_price': -0.1877, 'device_age_days': 0.178, 'pagerank_score': -0.14}",CLM-000049
LOW,0.0058,APPROVE,0.0058,0.5819,False,False,"['claim_amount: ↑ fraud (6.057)', 'n_shared_shops: ↓ legitimate (1.880)', 'amount_vs_device_price: ↑ fraud (0.823)', 'pagerank_score: ↓ legitimate (0.610)', 'days_since_policy_start: ↑ fraud (0.317)']","{'claim_amount': 6.0573, 'n_shared_shops': -1.8805, 'amount_vs_device_price': 0.823, 'pagerank_score': -0.6096, 'days_since_policy_start': 0.317}",CLM-000050
LOW,0.0,APPROVE,0.0,0.4392,False,False,"['claim_amount: ↓ legitimate (0.572)', 'n_shared_shops: ↓ legitimate (0.329)', 'pagerank_score: ↓ legitimate (0.193)', 'amount_vs_device_price: ↓ legitimate (0.143)', 'claim_frequency: ↓ legitimate (0.129)']","{'claim_amount': -0.572, 'n_shared_shops': -0.3287, 'pagerank_score': -0.193, 'amount_vs_device_price': -0.1429, 'claim_frequency': -0.1293}",CLM-000051
LOW,0.0001,APPROVE,0.0001,0.5001,False,False,"['claim_frequency: ↑ fraud (1.532)', 'claim_amount: ↓ legitimate (0.677)', 'n_shared_shops: ↓ legitimate (0.365)', 'pagerank_score: ↑ fraud (0.343)', 'policy_type_encoded: ↓ legitimate (0.190)']","{'claim_frequency': 1.5321, 'claim_amount': -0.6768, 'n_shared_shops': -0.3651, 'pagerank_score': 0.3428, 'policy_type_encoded': -0.1899}",CLM-000052
LOW,0.0,APPROVE,0.0,0.4152,False,False,"['claim_amount: ↓ legitimate (0.702)', 'coverage_utilization: ↓ legitimate (0.412)', 'device_age_days: ↑ fraud (0.273)', 'n_shared_shops: ↓ legitimate (0.194)', 'premium_amount: ↓ legitimate (0.158)']","{'claim_amount': -0.7015, 'coverage_utilization': -0.4124, 'device_age_days': 0.2733, 'n_shared_shops': -0.194, 'premium_amount': -0.1583}",CLM-000053
LOW,0.0001,APPROVE,0.0001,0.4515,False,False,"['claim_amount: ↓ legitimate (0.586)', 'n_shared_shops: ↓ legitimate (0.312)', 'device_age_days: ↑ fraud (0.290)', 'amount_vs_device_price: ↓ legitimate (0.183)', 'days_since_policy_start: ↑ fraud (0.145)']","{'claim_amount': -0.5858, 'n_shared_shops': -0.3119, 'device_age_days': 0.2897, 'amount_vs_device_price': -0.1832, 'days_since_policy_start': 0.1449}",CLM-000054
LOW,0.0001,APPROVE,0.0001,0.4217,False,False,"['amount_vs_device_price: ↑ fraud (1.581)', 'claim_amount: ↓ legitimate (0.596)', 'premium_amount: ↑ fraud (0.543)', 'n_shared_shops: ↓ legitimate (0.329)', 'pagerank_score: ↓ legitimate (0.244)']","{'amount_vs_device_price': 1.581, 'claim_amount': -0.5961, 'premium_amount': 0.5426, 'n_shared_shops': -0.3285, 'pagerank_score': -0.2442}",CLM-000055
LOW,0.0001,APPROVE,0.0001,0.4446,False,False,"['amount_vs_device_price: ↑ fraud (1.373)', 'claim_amount: ↓ legitimate (0.578)', 'coverage_utilization: ↓ legitimate (0.364)', 'n_shared_shops: ↓ legitimate (0.351)', 'device_age_days: ↑ fraud (0.283)']","{'amount_vs_device_price': 1.3729, 'claim_amount': -0.5785, 'coverage_utilization': -0.3644, 'n_shared_shops': -0.3507, 'device_age_days': 0.2829}",CLM-000056
LOW,0.0,APPROVE,0.0,0.4043,False,False,"['claim_amount: ↓ legitimate (0.735)', 'device_age_days: ↓ legitimate (0.360)', 'pagerank_score: ↑ fraud (0.243)', 'amount_vs_device_price: ↓ legitimate (0.210)', 'premium_amount: ↓ legitimate (0.166)']","{'claim_amount': -0.7351, 'device_age_days': -0.3598, 'pagerank_score': 0.2429, 'amount_vs_device_price': -0.2097, 'premium_amount': -0.1663}",CLM-000057
LOW,0.0,APPROVE,0.0,0.431,False,False,"['claim_amount: ↓ legitimate (0.674)', 'coverage_utilization: ↓ legitimate (0.383)', 'claim_frequency: ↓ legitimate (0.338)', 'device_age_days: ↓ legitimate (0.259)', 'n_shared_shops: ↑ fraud (0.241)']","{'claim_amount': -0.6744, 'coverage_utilization': -0.3825, 'claim_frequency': -0.3379, 'device_age_days': -0.2592, 'n_shared_shops': 0.2407}",CLM-000058
LOW,0.0,APPROVE,0.0,0.4014,False,False,"['claim_amount: ↓ legitimate (0.646)', 'claim_frequency: ↑ fraud (0.396)', 'n_shared_shops: ↓ legitimate (0.386)', 'premium_amount: ↑ fraud (0.237)', 'amount_vs_device_price: ↓ legitimate (0.228)']","{'claim_amount': -0.6458, 'claim_frequency': 0.3961, 'n_shared_shops': -0.3863, 'premium_amount': 0.2367, 'amount_vs_device_price': -0.2283}",CLM-000059
LOW,0.0,APPROVE,0.0,0.398,False,False,"['claim_amount: ↓ legitimate (0.770)', 'device_age_days: ↓ legitimate (0.386)', 'amount_vs_device_price: ↓ legitimate (0.165)', 'premium_amount: ↓ legitimate (0.153)', 'claim_frequency: ↓ legitimate (0.128)']","{'claim_amount': -0.7697, 'device_age_days': -0.3858, 'amount_vs_device_price': -0.1653, 'premium_amount': -0.153, 'claim_frequency': -0.1276}",CLM-000060
